Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,,,,,020,19906,"Gajjar, Pallavi J.",68.8%,12.5%,6.3%,,6.3%,,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,021,14331,"Pati, Biswaranjan",50.0%,,43.8%,,,,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,022,14333,"Pati, Biswaranjan",50.0%,12.5%,37.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,023,14334,"Cai, Wenjie",50.0%,6.3%,37.5%,,,,,,,6.3%,,,,,,,,,,,,,,,,,,,,
,,,,,,024,16236,"Kosloske, Triston A.",50.0%,6.3%,31.3%,,,,12.5%,,,,,,,,,,,,,,,,,,,,,,,
,,33400,Aerodynamics,202210,Fall 2021,001,10023,"Macheret, Sergey O.",20.4%,24.7%,5.4%,2.2%,2.2%,9.7%,24.7%,1.1%,2.2%,3.2%,,,,,2.2%,,1.1%,,,,,,,,,1.1%,,,,
,,33800,Thermal Sciences,202210,Fall 2021,001,12052,"Wang, Haifeng",21.1%,5.3%,10.5%,,10.5%,10.5%,10.5%,5.3%,,21.1%,,,,,,,,,,,5.3%,,,,,,,,,
,,33900,Aerospace Propulsion,202210,Fall 2021,001,14973,"Anderson, William E.",11.1%,4.8%,4.8%,,33.3%,4.8%,7.9%,15.9%,,4.8%,3.2%,7.9%,,1.6%,,,,,,,,,,,,,,,,
,,34000,Dynamics & Vibrations,202210,Fall 2021,001,10031,"Longuski, James M.",63.1%,,3.1%,,23.1%,,,7.7%,,,,,,,1.5%,,,,,,,,,,,1.5%,,,,
,,,,,,002,25835,"Longuski, James M.",53.4%,,,3.4%,29.3%,,,12.1%,,,,,,,,,,,,,,,,,,1.7%,,,,
,,35103,Aerospace Systems Design,202210,Fall 2021,001,14824,"Leifsson, Leifur T.",44.1%,31.2%,15.1%,,,2.2%,5.4%,,,2.2%,,,,,,,,,,,,,,,,,,,,
,,35200,Structural Analysis I,202210,Fall 2021,003,62157,"Tsutsui, Waterloo",12.1%,7.1%,70.7%,,1.0%,2.0%,5.1%,,,1.0%,,,,,1.0%,,,,,,,,,,,,,,,
,,,,,,004,15811,"Doyle, James F.",34.0%,,,,52.8%,,,7.5%,,,5.7%,,,,,,,,,,,,,,,,,,,
,,,,,,005,18227,"Hassan, Hashim",51.9%,,,,35.8%,,,11.1%,,,,,,,1.2%,,,,,,,,,,,,,,,
,,36400,Control System Anly,202210,Fall 2021,001,10036,"Hwang, Inseok",13.9%,,,,36.1%,16.7%,,27.8%,,,2.8%,,,,2.8%,,,,,,,,,,,,,,,
,,,,,,002,21130,"Mou, Shaoshuai",33.9%,,,,32.3%,,,16.1%,,,12.9%,,,,4.8%,,,,,,,,,,,,,,,
,,36401,Control Systems Lab,202210,Fall 2021,001,10037,"Liang, Zihao",84.6%,,,,15.4%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,10039,"Pannullo, James V.",71.4%,,,,7.1%,,,7.1%,,,,,,,14.3%,,,,,,,,,,,,,,,
,,,,,,004,10040,"Sapkota, Himal",92.3%,,,,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,10041,"Pannullo, James V.",71.4%,,,,21.4%,,,,,,,,,,,,,,,,,,,,,7.1%,,,,
,,,,,,006,10042,"Miguel, Nicolas I.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,007,10043,"Miguel, Nicolas I.",58.3%,,,,33.3%,,,,,,,,,,,,,,,,,,,,,8.3%,,,,
,,,,,,010,10046,"Liang, Zihao",84.6%,,,,7.7%,,,,,,,,,,7.7%,,,,,,,,,,,,,,,
,,,,,,012,64712,"Heredia, Paulo C.",92.9%,,,,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,013,64732,"Sapkota, Himal",78.6%,,,,14.3%,,,7.1%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,014,19722,"Heredia, Paulo C.",78.6%,,,,14.3%,,,,,,,,,,,,,,,,,,,,,7.1%,,,,
,,,,,,015,19724,"Miguel, Nicolas I.",92.9%,,,,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,016,13898,"Miguel, Nicolas I.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,017,16210,"Sapkota, Himal",92.3%,,,,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,018,26261,"Liang, Zihao",85.7%,,,,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,019,26262,"Sapkota, Himal",71.4%,,,,21.4%,,,,,,,,,,7.1%,,,,,,,,,,,,,,,
,,40000,Ugrad Senior Seminar,202210,Fall 2021,001,59072,"Crossley, William A.",81.1%,,,,14.6%,,,3.4%,,,,,,,,,,,,,,,,,,1.0%,,,,
,,41200,Intro Comp Fluid Dyn,202210,Fall 2021,001,10053,"Blaisdell, Gregory A.",19.2%,19.2%,1.0%,1.0%,9.1%,11.1%,10.1%,12.1%,1.0%,6.1%,4.0%,,,,2.0%,,1.0%,,,,,,,,,2.0%,1.0%,,,
,,41600,Viscous Flows,202210,Fall 2021,002,24291,"Shih, Tom I.",29.4%,5.9%,,,11.8%,23.5%,11.8%,,,17.6%,,,,,,,,,,,,,,,,,,,,
,,41800,Zero-Gravity Flt Exper,202210,Fall 2021,001,18910,"Collicott, Steven H.",65.3%,26.5%,2.0%,,2.0%,,4.1%,,,,,,,,,,,,,,,,,,,,,,,
,,42100,Flight Dynam & Control,202210,Fall 2021,001,12540,"Dai, Ran",12.0%,18.5%,26.1%,,14.1%,4.3%,6.5%,3.3%,1.1%,3.3%,2.2%,3.3%,3.3%,,2.2%,,,,,,,,,,,,,,,
,,43900,Rocket Propulsion,202210,Fall 2021,001,10058,"Heister, Stephen D.",19.1%,14.9%,,2.1%,19.1%,7.4%,20.2%,8.5%,,4.3%,,,,,1.1%,,1.1%,,,,,,,,,2.1%,,,,
,,45000,Spacecraft Design,202210,Fall 2021,002,63827,"Garrison, James L.",43.3%,,10.4%,,14.9%,23.9%,6.0%,,1.5%,,,,,,,,,,,,,,,,,,,,,
,,45100,Aircraft Design,202210,Fall 2021,005,64139,"Delaurentis, Daniel A.",60.6%,15.2%,15.2%,,,,6.1%,,,,,,,,3.0%,,,,,,,,,,,,,,,
,,49000,TracSat Design Project III,202210,Fall 2021,001,23154,"Shashurin, Alexey",68.8%,18.8%,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50700,Principles Of Dynamics,202210,Fall 2021,WNG,25000,"Longuski, James M.",50.8%,,11.9%,,32.2%,,,1.7%,,,,,,,,,,,,,,,,,,3.4%,,,,
,,51100,Intro Fluid Mechnics,202210,Fall 2021,WNG,10078,"Poggie, Jonathan",8.9%,28.6%,7.1%,1.8%,14.3%,8.9%,14.3%,5.4%,,,,,,,7.1%,,,,,,,,,,,3.6%,,,,
,,53200,Orbit Mechanics,202210,Fall 2021,001,18515,"Howell, Kathleen",11.8%,7.4%,5.9%,2.9%,16.2%,8.8%,4.4%,19.1%,4.4%,2.9%,4.4%,2.9%,2.9%,,,,,,,,,,,,,4.4%,1.5%,,,
,,53400,Spacecraft Electric Propulsion,202210,Fall 2021,001,20356,"Shashurin, Alexey",17.2%,31.0%,,3.4%,13.8%,6.9%,17.2%,3.4%,3.4%,3.4%,,,,,,,,,,,,,,,,,,,,
,,53700,Hypersonic Propulsion,202210,Fall 2021,WNG,25003,"Heister, Stephen D.",31.0%,19.0%,,7.1%,19.0%,2.4%,16.7%,,,,,,,,,,,,,,,,,,,4.8%,,,,
,,53800,Air Breathing Propul,202210,Fall 2021,001,15657,"Slabaugh, Carson D.",23.3%,3.3%,6.7%,3.3%,26.7%,13.3%,3.3%,6.7%,,,,,,,10.0%,,,,,,,,,,,3.3%,,,,
,,54600,Aero Struct Dyn Stab,202210,Fall 2021,001,10081,"Doyle, James F.",52.9%,,,,35.3%,,,5.9%,,,,,,,,,,,,,,,,,,5.9%,,,,
,,55000,Multidiscip Des Opt,202210,Fall 2021,001,26473,"Crossley, William A.",38.2%,21.8%,7.3%,,10.9%,1.8%,5.5%,,,1.8%,1.8%,,,,3.6%,,,,,,,,,,,5.5%,1.8%,,,
,,,,,,WNG,10082,"Crossley, William A.",43.1%,23.6%,5.6%,1.4%,11.1%,1.4%,5.6%,,1.4%,1.4%,1.4%,,,,2.8%,,1.4%,,,,,,,,,,,,,
,,55300,Elast Aerospace I,202210,Fall 2021,WNG,10084,"Yu, Wenbin",10.0%,30.0%,15.0%,,10.0%,,10.0%,,5.0%,5.0%,5.0%,,,,10.0%,,,,,,,,,,,,,,,
,,55400,Fatigue Struct & Matls,202210,Fall 2021,001,25024,"Sangid, Michael D.",12.5%,5.0%,7.5%,,15.0%,17.5%,17.5%,10.0%,2.5%,2.5%,,,2.5%,,7.5%,,,,,,,,,,,,,,,
,,55800,Fin El Meth Aero Struc,202210,Fall 2021,WNG,10087,"Tomar, Vikas",22.7%,27.3%,27.3%,,13.6%,,,,,4.5%,,,,,,,,,,,,,,,,4.5%,,,,
,,56100,Intro To Convex Optimization,202210,Fall 2021,001,25881,"Scutari, Gesualdo",23.1%,15.4%,23.1%,,7.7%,7.7%,7.7%,15.4%,,,,,,,,,,,,,,,,,,,,,,
,,56400,Syst Anly Synthesis,202210,Fall 2021,WNG,25050,"Corless, Martin",50.7%,,10.4%,,26.9%,,,7.5%,,,4.5%,,,,,,,,,,,,,,,,,,,
,,57500,Intr Sat Nav & Pos,202210,Fall 2021,001,26783,"Garrison, James L.",66.7%,11.1%,5.6%,,5.6%,,,,,,,,,,5.6%,,,,,,,,,,,5.6%,,,,
,,,,,,WNG,25025,"Garrison, James L.",50.0%,2.3%,20.5%,2.3%,11.4%,,,2.3%,,,,,,,,,4.5%,,,,,,,,,6.8%,,,,
,,59000,Aerospce Eng Probability & Est,202210,Fall 2021,085,20211,"Frazho, Arthur E.",63.0%,,,,33.3%,,,,,,,,,,,,,,,,,,,,,3.7%,,,,
,,,Space Flight Operations,202210,Fall 2021,087,26250,"Mansell, Justin R.",36.8%,10.5%,10.5%,2.6%,10.5%,7.9%,5.3%,7.9%,,7.9%,,,,,,,,,,,,,,,,,,,,
,,,,,,WN2,19989,"Mansell, Justin R.",57.8%,13.3%,4.4%,,4.4%,,13.3%,,,4.4%,,,,,2.2%,,,,,,,,,,,,,,,
,,,Space Traffic Management,202210,Fall 2021,086,25899,"Frueh, Carolin E.",20.0%,30.0%,15.0%,,5.0%,,10.0%,,,10.0%,,,,,,,,,,,,,,,,10.0%,,,,
,,,System Safety & Reliability,202210,Fall 2021,WNG,24249,"Marais, Karen",33.3%,20.0%,3.3%,3.3%,16.7%,3.3%,16.7%,,,,,,,,,,3.3%,,,,,,,,,,,,,
,,63200,Adv Orbital Dynamics,202210,Fall 2021,WNG,24247,"Howell, Kathleen",52.4%,9.5%,4.8%,19.0%,9.5%,,,,,,4.8%,,,,,,,,,,,,,,,,,,,
,,69000,Liquid Prop Chem & Application,202210,Fall 2021,002,20209,"Pourpoint, Timothee L.",92.3%,,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69900,Research PhD Thesis,202210,Fall 2021,006,10148,"Hwang, Inseok",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,,,,,018,10160,"Howell, Kathleen",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
AAS,AAS-African American Studies,27100,Intro African American Studies,202210,Fall 2021,007,22015,"Tan, Mindy H.",32.0%,12.0%,16.0%,,8.0%,,8.0%,8.0%,,,,4.0%,,,4.0%,,,,,,,,,,,8.0%,,,,
,,,,,,008,16292,"Williams, Megan M.",21.7%,21.7%,13.0%,,4.3%,4.3%,17.4%,,4.3%,4.3%,,,4.3%,,4.3%,,,,,,,,,,,,,,,
,,37100,AA Athletes & Problem Of Race,202210,Fall 2021,002,14271,"Bynum, Cornelius L.",20.0%,20.0%,,,26.7%,13.3%,,,,,,,,,6.7%,,6.7%,,,,,,,,,6.7%,,,,
,,47300,Blacks In Hollywood Film,202210,Fall 2021,001,21201,"Tan, Mindy H.",18.8%,6.3%,62.5%,,,,,,,,,,,,6.3%,,,,,,,,,,,6.3%,,,,
ABE,ABE-Agri & Biol Engineering,20100,Thermo In Bio Sys I,202210,Fall 2021,004,53767,"Mosier, Nathan S.",15.9%,19.0%,,,28.6%,19.0%,9.5%,4.8%,,1.6%,,,,,1.6%,,,,,,,,,,,,,,,
,,,Thermo In Bio Sys I-Honors,202210,Fall 2021,004,53767,"Mosier, Nathan S.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20500,Computations Engr Sys,202210,Fall 2021,001,10405,"Mcmillan, Sara K.",21.4%,21.4%,,,32.1%,,14.3%,3.6%,,7.1%,,,,,,,,,,,,,,,,,,,,
,,22600,Biotechnology Laboratory I,202210,Fall 2021,001,20475,"Clase, Kari L.",86.7%,3.3%,,,3.3%,,,,,,,,,,6.7%,,,,,,,,,,,,,,,
,,,,,,002,20478,"Clase, Kari L.",80.8%,7.7%,,,7.7%,,,,,,,3.8%,,,,,,,,,,,,,,,,,,
,,,,,,003,20479,"Clase, Kari L.",80.6%,3.2%,,,3.2%,,3.2%,,,6.5%,3.2%,,,,,,,,,,,,,,,,,,,
,,29000,Sophomore Seminar,202210,Fall 2021,001,10410,"Frankenberger, Jane R.",67.7%,15.1%,,,1.1%,3.2%,3.2%,2.2%,1.1%,4.3%,,,,,2.2%,,,,,,,,,,,,,,,
,,30300,Apl Phys Chm Biol Proc,202210,Fall 2021,001,10413,"Verma, Mohit S.",6.0%,6.0%,2.0%,,12.0%,16.0%,10.0%,22.0%,2.0%,12.0%,2.0%,,,,8.0%,,,,,,,,,,,2.0%,,,,
,,30500,Phys Prop Biol Matls,202210,Fall 2021,001,10414,"Ambrose, Rose Prabin K.",27.3%,36.4%,9.1%,,9.1%,,9.1%,9.1%,,,,,,,,,,,,,,,,,,,,,,
,,30700,Momentum Trans Food & Bio Sys,202210,Fall 2021,001,11705,"Singh, Shweta",12.2%,10.2%,2.0%,,16.3%,10.2%,16.3%,6.1%,8.2%,14.3%,,,,,2.0%,,,,,,,,,,,2.0%,,,,
,,32500,Soil & Water Resource,202210,Fall 2021,001,10417,"Cherkauer, Keith A.",18.2%,22.7%,13.6%,,9.1%,13.6%,18.2%,,,4.5%,,,,,,,,,,,,,,,,,,,,
,,37000,Biol/Mic Kin Reac Engr,202210,Fall 2021,002,16298,"Deng, Meng",4.3%,12.8%,14.9%,,21.3%,6.4%,12.8%,6.4%,2.1%,8.5%,2.1%,2.1%,2.1%,,2.1%,,,,,,,,,,,2.1%,,,,
,,40600,ABE Ambassador Leadership Sem,202210,Fall 2021,001,28262,"Engelberth, Nathan P.",90.0%,,10.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43500,Hyd Contr Syst Mob Eq,202210,Fall 2021,001,10421,"Vacca, Andrea",10.0%,,10.0%,,15.0%,20.0%,15.0%,15.0%,5.0%,10.0%,,,,,,,,,,,,,,,,,,,,
,,45000,Finite Ele Mth Des/Opt,202210,Fall 2021,001,20406,"Dabiri, Sadegh",28.6%,28.6%,,,4.8%,4.8%,28.6%,,4.8%,,,,,,,,,,,,,,,,,,,,,
,,45300,Leadership In Biotechnology,202210,Fall 2021,001,28467,"Clase, Kari L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46000,Sensors And Process Control,202210,Fall 2021,003,64701,"Shang, Lizhi",29.2%,16.7%,,,9.7%,4.2%,15.3%,9.7%,1.4%,5.6%,1.4%,1.4%,1.4%,,2.8%,,1.4%,,,,,,,,,,,,,
,,48400,Project Planning And Mgmt,202210,Fall 2021,001,20640,"Lumkes, John H.",68.8%,25.0%,,,,,6.3%,,,,,,,,,,,,,,,,,,,,,,,
,,49000,Prof Pract Ag Biol Eng,202210,Fall 2021,002,21304,"Ambrose, Rose Prabin K.",31.0%,8.3%,59.5%,,,,,,,,,,,,1.2%,,,,,,,,,,,,,,,
,,51100,Drug Development,202210,Fall 2021,001,22607,"Clase, Kari L.",88.2%,5.9%,,,,,2.0%,,,,2.0%,2.0%,,,,,,,,,,,,,,,,,,
,,54500,Dsgn Off-Highway Veh,202210,Fall 2021,002,14968,"Stwalley, Robert M.",41.7%,,8.3%,8.3%,33.3%,,8.3%,,,,,,,,,,,,,,,,,,,,,,,
,,55700,Transp Op Food & Bio Sys II,202210,Fall 2021,001,21632,"Okos, Martin R.",19.7%,25.8%,,,10.6%,,10.6%,7.6%,12.1%,,3.0%,,,,,,10.6%,,,,,,,,,,,,,
,,62600,Life Of A Faculty Entrepreneur,202210,Fall 2021,001,21036,"Duval-Couetil, Nathalie A.",45.5%,27.3%,9.1%,9.1%,,,,,,,,,,,,,,,,,,,,,,9.1%,,,,
,,69400,Graduate Research Training,202210,Fall 2021,001,68108,"Mosier, Nathan S.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
AD,AD-Art & Design,10500,Design I,202210,Fall 2021,013,10270,"Hitselberger, Brian J.",5.6%,38.9%,,,16.7%,,5.6%,5.6%,11.1%,5.6%,,,,,5.6%,,,,,,,,,,,5.6%,,,,
,,,,,,015,10274,"Poer, Sara J.",,20.0%,,,,6.7%,26.7%,,,6.7%,,,,,20.0%,,13.3%,,,,,,,,,6.7%,,,,
,,,,,,016,10280,"Chen, Jessica A.",,7.1%,,,,7.1%,28.6%,,7.1%,21.4%,14.3%,,,,7.1%,,,,,,,,,,,7.1%,,,,
,,,,,,022,10319,"Jacobson, Alexandra L.",5.6%,38.9%,,,5.6%,5.6%,22.2%,,11.1%,5.6%,,,,,,,,,,,,,,,,5.6%,,,,
,,,,,,023,10325,"Jacobson, Alexandra L.",16.7%,33.3%,,,5.6%,5.6%,11.1%,5.6%,5.6%,5.6%,,,,,5.6%,,,,,,,,,,,5.6%,,,,
,,,,,,024,13504,"Kendrick, Amanda J.",5.6%,22.2%,,,16.7%,11.1%,22.2%,16.7%,5.6%,,,,,,,,,,,,,,,,,,,,,
,,,,,,031,13540,"Ren, Pengyu",16.7%,27.8%,,,16.7%,11.1%,22.2%,,,,,,,,,,,,,,,,,,,5.6%,,,,
,,,,,,032,11597,"Kendrick, Amanda J.",,20.0%,,,13.3%,20.0%,13.3%,,,6.7%,,6.7%,,,13.3%,,,,,,,,,,,6.7%,,,,
,,,,,,035,23214,"Ren, Pengyu",18.8%,31.3%,,,6.3%,6.3%,,,,18.8%,,,6.3%,,6.3%,,,,,,,,,,,6.3%,,,,
,,,,,,036,23218,"Hitselberger, Brian J.",5.6%,16.7%,,,5.6%,11.1%,16.7%,5.6%,5.6%,16.7%,,,,,11.1%,,,,,,,,,,,5.6%,,,,
,,,,,,037,26606,"Chen, Jessica A.",,5.9%,,,11.8%,11.8%,17.6%,11.8%,5.9%,11.8%,,,5.9%,,11.8%,,,,,,,,,,,5.9%,,,,
,,10600,Design II,202210,Fall 2021,002,13613,"Terrell, Michael S.",16.7%,33.3%,16.7%,,8.3%,,,,,,,,8.3%,,,,8.3%,,,,,,,,,8.3%,,,,
,,11300,Basic Drawing,202210,Fall 2021,001,14629,"Penington, Eric A.",23.5%,29.4%,5.9%,,5.9%,,17.6%,5.9%,,5.9%,,,,,5.9%,,,,,,,,,,,,,,,
,,,,,,002,14641,"Kendrick, Amanda J.",6.3%,25.0%,,,6.3%,,31.3%,6.3%,12.5%,,,,,,,,,,,,,,,,,12.5%,,,,
,,,,,,003,14626,"Kendrick, Amanda J.",7.1%,14.3%,,,7.1%,28.6%,21.4%,,,7.1%,,7.1%,7.1%,,,,,,,,,,,,,,,,,
,,,,,,004,14653,"Stetler, Victoria K.",22.2%,16.7%,5.6%,,,11.1%,22.2%,11.1%,,5.6%,,,,,,,,,,,,,,,,5.6%,,,,
,,,,,,005,51570,"Griffith, Charmaine R.",22.2%,5.6%,5.6%,,16.7%,,16.7%,11.1%,5.6%,,,,5.6%,,5.6%,,,,,,,,,,,5.6%,,,,
,,,,,,006,10197,"Choi, Jong-un",21.4%,21.4%,21.4%,,,7.1%,7.1%,,14.3%,,,7.1%,,,,,,,,,,,,,,,,,,
,,,,,,007,10198,"Choi, Jong-un",35.3%,41.2%,5.9%,,5.9%,,5.9%,,,5.9%,,,,,,,,,,,,,,,,,,,,
,,,,,,008,10196,"Griffith, Charmaine R.",18.8%,25.0%,,,18.8%,6.3%,12.5%,,,,,,,,6.3%,,,,,,,,,,,12.5%,,,,
,,,,,,009,10204,"Griffith, Charmaine R.",37.5%,31.3%,12.5%,,,,6.3%,,,,,,,,,,,,,,,,,,,12.5%,,,,
,,,,,,010,10201,"Jung, Soyoung",11.8%,,82.4%,,,,,,,5.9%,,,,,,,,,,,,,,,,,,,,
,,,,,,011,10193,"Brownlow, Grant M.",6.3%,18.8%,,,18.8%,18.8%,18.8%,,,12.5%,,,,,,,,,,,,,,,,6.3%,,,,
,,,,,,012,15744,"Jung, Soyoung",11.8%,17.6%,47.1%,,5.9%,,,,,5.9%,,,,,5.9%,,,,,,,,,,,5.9%,,,,
,,,,,,013,27262,"Stetler, Victoria K.",,16.7%,27.8%,,5.6%,11.1%,16.7%,5.6%,,5.6%,,,5.6%,,,,,,,,,,,,,5.6%,,,,
,,,,,,014,27263,"Owen, Caroline E.",11.8%,23.5%,17.6%,,5.9%,11.8%,5.9%,,5.9%,,5.9%,,,,,,,,,,,,,,,11.8%,,,,
,,11400,Drawing II,202210,Fall 2021,001,10208,"Stetler, Victoria K.",30.8%,,30.8%,,,,7.7%,,,,7.7%,,,,15.4%,,,,,,,,,,,7.7%,,,,
,,11700,Black And White Photography,202210,Fall 2021,001,49020,"Strouse, Janell N.",71.4%,,,,7.1%,7.1%,7.1%,,,,,,,,,,,,,,,,,,,7.1%,,,,
,,,,,,002,44033,"Poer, Sara J.",64.3%,,,,,,,,,,,,,,7.1%,,21.4%,,,,,,,,,7.1%,,,,
,,,,,,003,44032,"Dean, Katherine E.",45.5%,9.1%,,,9.1%,,27.3%,,,,,,,,9.1%,,,,,,,,,,,,,,,
,,,,,,004,18999,"Strouse, Janell N.",78.6%,7.1%,,,,7.1%,7.1%,,,,,,,,,,,,,,,,,,,,,,,
