Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;002;16255;Li, Husheng;5.7%;9.2%;;;9.2%;20.7%;8.0%;14.9%;11.5%;5.7%;4.6%;1.1%;3.4%;;3.4%;;;;;;;;2.3%;
;;;;;;003;41794;Burton, Alexander B.;10.0%;20.0%;6.7%;;6.7%;13.3%;10.0%;10.0%;13.3%;3.3%;;;;;6.7%;;;;;;;;;
;;33300;Fluid Mechanics;202620;Spring 2026;001;10015;Chynoweth, Brandon C.;18.8%;10.4%;2.8%;;15.3%;10.4%;14.6%;7.6%;4.2%;9.0%;1.4%;0.7%;2.8%;;1.4%;;;;;;;;0.7%;
;;;;;;002;41223;Coleman, Gary N.;6.3%;10.4%;6.3%;;18.8%;18.8%;20.8%;;4.2%;8.3%;;;4.2%;;;;;;;;;;2.1%;
;;33301;Fluid Mechanics Lab;202620;Spring 2026;011;18918;Inanc, Ece;90.9%;;;;;;;9.1%;;;;;;;;;;;;;;;;
;;;;;;012;19806;Inanc, Ece;35.7%;7.1%;57.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;014;23310;Tomasino, Teresa C.;85.7%;;14.3%;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;11634;Tomasino, Teresa C.;64.3%;;35.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;016;11635;Breban, Antoine A.;53.8%;;46.2%;;;;;;;;;;;;;;;;;;;;;
;;;;;;017;11641;Lokhande, Monish M.;14.3%;;78.6%;;;7.1%;;;;;;;;;;;;;;;;;;
;;;;;;018;13059;Bennett, Charlotte M.;63.6%;9.1%;27.3%;;;;;;;;;;;;;;;;;;;;;
;;;;;;019;13062;Bennett, Charlotte M.;42.9%;7.1%;42.9%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;021;32555;Lokhande, Monish M.;28.6%;;71.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;022;32556;Breban, Antoine A.;71.4%;;21.4%;;;;;7.1%;;;;;;;;;;;;;;;;
;;;;;;023;39177;Breban, Antoine A.;64.3%;;35.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;024;41235;Lokhande, Monish M.;14.3%;;85.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;025;41236;Bennett, Charlotte M.;50.0%;7.1%;42.9%;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;41237;Tomasino, Teresa C.;50.0%;;50.0%;;;;;;;;;;;;;;;;;;;;;
;;33400;Aerodynamics;202620;Spring 2026;001;10025;Blaisdell, Gregory A.;6.5%;13.0%;3.7%;;17.6%;11.1%;12.0%;11.1%;9.3%;5.6%;2.8%;1.9%;1.9%;;1.9%;;;;;;;;1.9%;
;;;;;;002;10028;Coleman, Gary N.;8.6%;5.8%;0.7%;;15.8%;18.0%;14.4%;10.1%;3.6%;10.8%;2.9%;;6.5%;;2.2%;;;;;;;;0.7%;
;;33401;Aerodynamics Lab;202620;Spring 2026;002;10027;Myers, Andrew P.;50.0%;;50.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;004;10029;Hourmant, Tanguy;50.0%;;35.7%;;;;7.1%;;7.1%;;;;;;;;;;;;;;;
;;;;;;010;55590;Dikay, Rugved S.;57.1%;;35.7%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;013;18919;Zabalegui Lopez, Erik;28.6%;21.4%;35.7%;;;;7.1%;;7.1%;;;;;;;;;;;;;;;
;;;;;;014;18023;Myers, Andrew P.;35.7%;7.1%;42.9%;;7.1%;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;015;18030;Mossman, Luca S.;50.0%;;50.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;020;23023;Dikay, Rugved S.;14.3%;;78.6%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;021;23034;Dikay, Rugved S.;83.3%;;16.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;023;17955;Hourmant, Tanguy;78.6%;;21.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;16124;Dikay, Rugved S.;41.7%;16.7%;33.3%;;;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;027;16125;Zabalegui Lopez, Erik;46.2%;7.7%;30.8%;;;;7.7%;7.7%;;;;;;;;;;;;;;;;
;;;;;;029;16140;Mossman, Luca S.;57.1%;;42.9%;;;;;;;;;;;;;;;;;;;;;
;;;;;;031;16148;Myers, Andrew P.;64.3%;;35.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;032;39179;Mossman, Luca S.;42.9%;7.1%;50.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;034;39181;Mossman, Luca S.;81.8%;9.1%;;;9.1%;;;;;;;;;;;;;;;;;;;
;;33900;Aerospace Propulsion;202620;Spring 2026;001;15895;Wang, Haifeng;6.7%;16.0%;4.0%;1.3%;6.7%;13.3%;9.3%;2.7%;1.3%;25.3%;2.7%;;4.0%;;2.7%;;;;;;;;4.0%;
;;34000;Dynamics & Vibrations;202620;Spring 2026;001;10035;Cunningham, Thomas F.;16.9%;7.9%;3.4%;;16.9%;14.6%;15.7%;6.7%;3.4%;11.2%;;1.1%;;;;;;;;;;;2.2%;
;;;;;;002;10040;Burton, Alexander B.;8.8%;15.8%;7.0%;;10.5%;5.3%;17.5%;5.3%;5.3%;10.5%;3.5%;1.8%;3.5%;;1.8%;;;;;;;;3.5%;
;;;;;;003;10591;LeGrand, Keith A.;36.0%;;10.1%;;37.1%;;;11.2%;;;4.5%;;;;;;;;;;;;1.1%;
;;35103;Aerospace Systems Design;202620;Spring 2026;001;35835;Parsons, Kevin K.;63.4%;21.1%;4.2%;;4.2%;;4.2%;;;1.4%;;;;;1.4%;;;;;;;;;
;;35200;Structural Analysis I;202620;Spring 2026;001;10038;Joshi, Pankaj;11.9%;14.3%;7.1%;;9.5%;21.4%;11.9%;2.4%;7.1%;4.8%;2.4%;2.4%;2.4%;;2.4%;;;;;;;;;
;;;;;;002;10595;Agyei, Ronald F.;10.0%;11.7%;10.0%;;15.0%;5.0%;15.0%;3.3%;5.0%;6.7%;1.7%;3.3%;5.0%;;5.0%;;;;;;;;3.3%;
;;36400;Control System Anly;202620;Spring 2026;001;10043;Kuo, Chan-Yuan;14.9%;10.4%;11.9%;;17.9%;11.9%;7.5%;6.0%;3.0%;4.5%;;;7.5%;;1.5%;;;;;;;;3.0%;
;;;;;;002;16183;Byeon, Sooyung;19.1%;9.0%;11.2%;;13.5%;7.9%;9.0%;5.6%;6.7%;4.5%;4.5%;1.1%;3.4%;;1.1%;;;;;;;;3.4%;
;;;;;;003;16185;Tanaka, Takashi;12.1%;13.2%;7.7%;;11.0%;9.9%;13.2%;7.7%;3.3%;11.0%;2.2%;;3.3%;;3.3%;;;;;;;;2.2%;
;;36401;Control Systems Lab;202620;Spring 2026;001;10044;Mahmud, S M Nahid;75.0%;;;;16.7%;;;;;;8.3%;;;;;;;;;;;;;
;;;;;;003;10046;Abdrabou, Abdulrahman;75.0%;;;;25.0%;;;;;;;;;;;;;;;;;;;
;;;;;;005;10048;Zhou, Tianyu;75.0%;;;;16.7%;;;8.3%;;;;;;;;;;;;;;;;
;;;;;;007;10050;Lewis, Kevin M.;63.6%;;;;18.2%;;;9.1%;;;;;;;9.1%;;;;;;;;;
;;;;;;008;10051;Palmer, David M.;81.8%;;;;18.2%;;;;;;;;;;;;;;;;;;;
;;;;;;010;12464;Anand, Siddharth;81.8%;;;;18.2%;;;;;;;;;;;;;;;;;;;
;;;;;;012;12471;Hoyos, Jose D.;75.0%;;;;25.0%;;;;;;;;;;;;;;;;;;;
;;;;;;018;41364;Palmer, David M.;75.0%;;;;25.0%;;;;;;;;;;;;;;;;;;;
;;39699;Prof Practice Internship;202620;Spring 2026;001;13064;Crain, Lisa M.;;;;;;;;;;;;;;;;;;;;78.9%;;21.1%;;
;;40000;Ugrad Senior Seminar;202620;Spring 2026;001;67991;Crossley, William A.;46.1%;;32.0%;;15.8%;;;5.3%;;;0.4%;;;;0.4%;;;;;;;;;
;;41800;Zero-Gravity Flt Exper;202620;Spring 2026;008;23070;Collicott, Steven H.;78.0%;14.6%;2.4%;;;;4.9%;;;;;;;;;;;;;;;;;
;;;;;;009;23071;Collicott, Steven H.;88.9%;4.4%;;;;;6.7%;;;;;;;;;;;;;;;;;
;;42100;Flight Dynam & Control;202620;Spring 2026;001;12557;Corless, Martin;44.0%;;22.7%;;25.3%;;;4.0%;;;4.0%;;;;;;;;;;;;;
;;;;;;002;10597;Dai, Ran;7.4%;24.1%;33.3%;;13.0%;1.9%;9.3%;3.7%;;5.6%;;;;;;;;;;;;;1.9%;
;;43200;Orbital Analysis;202620;Spring 2026;001;35937;Howell, Kathleen;21.6%;10.8%;2.7%;2.7%;21.6%;8.1%;5.4%;5.4%;2.7%;;2.7%;2.7%;;;8.1%;2.7%;;;;;;;2.7%;
;;43800;Air-Breathing Propulsion;202620;Spring 2026;001;12476;Chakraborty, Suman;14.8%;18.0%;8.2%;;14.8%;13.1%;6.6%;1.6%;1.6%;19.7%;1.6%;;;;;;;;;;;;;
;;;;;;002;32576;Chakraborty, Suman;12.1%;13.6%;12.1%;;16.7%;15.2%;9.1%;;3.0%;15.2%;1.5%;;;;;;;;;;;;1.5%;
;;44000;Spacecraft Att Dynam;202620;Spring 2026;001;10608;Howell, Kathleen;16.7%;;3.3%;;33.3%;;3.3%;23.3%;;;3.3%;;3.3%;;10.0%;;;;;;;;3.3%;
;;45000;Spacecraft Design;202620;Spring 2026;025;23126;Cunningham, Thomas F.;84.8%;;;;12.1%;;;3.0%;;;;;;;;;;;;;;;;
;;;;;;026;23127;Cunningham, Thomas F.;87.5%;;;;12.5%;;;;;;;;;;;;;;;;;;;
;;;;;;030;35941;Parsons, Kevin K.;80.4%;;;;17.9%;;;1.8%;;;;;;;;;;;;;;;;
;;45100;Aircraft Design;202620;Spring 2026;003;10067;Machado Guimaraes, Thiago Augusto;41.9%;34.9%;4.7%;;14.0%;;2.3%;;2.3%;;;;;;;;;;;;;;;
;;;;;;006;36031;Machado Guimaraes, Thiago Augusto;33.3%;40.0%;;;20.0%;;6.7%;;;;;;;;;;;;;;;;;
;;;;;;008;36033;Leifsson, Leifur T.;36.1%;30.6%;;;13.9%;5.6%;5.6%;;;5.6%;;;;;2.8%;;;;;;;;;
;;49000;Aero Prop Foundations;202620;Spring 2026;069;36089;Canino, James V.;13.0%;8.7%;2.2%;;10.9%;12.0%;14.1%;8.7%;6.5%;6.5%;1.1%;3.3%;4.3%;;2.2%;;;;;;;;6.5%;
;;;;;;070;36090;Canino, James V.;8.4%;6.3%;1.1%;;16.8%;13.7%;18.9%;8.4%;6.3%;2.1%;2.1%;1.1%;5.3%;;3.2%;;;;;;;;6.3%;
;;;Aircraft Preliminary Design;202620;Spring 2026;071;39282;Machado Guimaraes, Thiago Augusto;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;CubeSat Lab;202620;Spring 2026;068;32883;Shashurin, Alexey;64.0%;28.0%;4.0%;;;;4.0%;;;;;;;;;;;;;;;;;
;;;Resilient Aerospace Systems;202620;Spring 2026;072;40883;Marais, Karen;90.9%;;9.1%;;;;;;;;;;;;;;;;;;;;;
;;51200;Computational Aerodyn;202620;Spring 2026;WNG;10082;Shih, Tom I.;90.2%;2.4%;;;;;2.4%;;;;;;;;;;;;;;;;4.9%;
;;51400;Intermediate Aerodyn;202620;Spring 2026;001;33297;Bane, Sally P.;47.4%;15.8%;5.3%;;10.5%;;;;;10.5%;;;5.3%;;;;;;;;;;5.3%;
;;;;;;WNG;23904;Bane, Sally P.;55.6%;6.7%;15.6%;;6.7%;;11.1%;;;;;;2.2%;;;;;;;;;;2.2%;
;;51900;Hypersonic Aerothermo;202620;Spring 2026;001;36109;Schneider, Steven P.;19.6%;9.8%;5.9%;7.8%;23.5%;11.8%;13.7%;5.9%;;;;;;;;;;;;;;;2.0%;
;;52000;Exper Aerodynamics;202620;Spring 2026;011;10096;Chynoweth, Brandon C.;22.2%;27.8%;;;27.8%;;22.2%;;;;;;;;;;;;;;;;;
;;52100;Plasma Laboratory;202620;Spring 2026;002;19081;Shashurin, Alexey;26.7%;6.7%;60.0%;;;6.7%;;;;;;;;;;;;;;;;;;
;;52300;Introduction To Remote Sensing;202620;Spring 2026;001;39431;Garrison, James L.;41.7%;;39.6%;2.1%;8.3%;;2.1%;;;;;;;;;;;;;;;;6.3%;
;;53000;Comput Combustion & Propulsion;202620;Spring 2026;001;39433;Wang, Haifeng;46.2%;33.3%;7.7%;;7.7%;;5.1%;;;;;;;;;;;;;;;;;
;;53500;Propulsion DBT;202620;Spring 2026;011;30601;Slabaugh, Carson D.;77.3%;;22.7%;;;;;;;;;;;;;;;;;;;;;
;;53900;Adv Rocket Propulsion;202620;Spring 2026;001;40973;Pourpoint, Timothee L.;11.1%;16.7%;5.6%;;11.1%;11.1%;33.3%;;5.6%;;;;;;;;;;;;;;5.6%;
;;;;;;WNG;10110;Pourpoint, Timothee L.;19.1%;23.5%;5.9%;;7.4%;13.2%;20.6%;2.9%;;4.4%;;;;;1.5%;;;;;;;;1.5%;
;;54600;Aero Struct Dyn Stab;202620;Spring 2026;001;30795;Guo, Zherui;31.3%;18.8%;6.3%;;12.5%;6.3%;6.3%;;6.3%;;;6.3%;;;6.3%;;;;;;;;;
;;55200;Nondes Eval Struct Mat;202620;Spring 2026;WNG;11566;Tallman, Tyler N.;12.5%;26.6%;10.9%;1.6%;15.6%;4.7%;18.8%;6.3%;;3.1%;;;;;;;;;;;;;;
;;55500;Mechan Composite Matls;202620;Spring 2026;WNG;10112;Pipes, R. Byron;22.9%;14.3%;17.1%;2.9%;8.6%;2.9%;2.9%;5.7%;14.3%;;;;;;2.9%;;;;;;;;5.7%;
;;56000;System-Of-Sys Modeling & Anlys;202620;Spring 2026;OL1;28989;Guariniello, Cesare;18.5%;22.2%;3.7%;;14.8%;;25.9%;;3.7%;3.7%;;;;;3.7%;;;;;;;;3.7%;
;;;;;;WNG;58862;Guariniello, Cesare;28.8%;15.4%;17.3%;1.9%;7.7%;3.8%;15.4%;3.8%;;5.8%;;;;;;;;;;;;;;
;;56700;Intro App Stoch Proc;202620;Spring 2026;001;19288;Frazho, Arthur E.;52.7%;;;1.8%;40.0%;;;5.5%;;;;;;;;;;;;;;;;
;;56800;Appl Optimal Control & Estimat;202620;Spring 2026;WNG;10116;Hwang, Inseok;56.8%;10.8%;;5.4%;18.9%;2.7%;;2.7%;;;;;;;2.7%;;;;;;;;;
;;59000;Appl Control In Astronautics;202620;Spring 2026;088;19682;Oguri, Kenshiro;42.9%;;42.9%;1.6%;6.3%;;;1.6%;;;;;;;;;;;;;;;4.8%;
;;;Atmospheric Flight Mechanics;202620;Spring 2026;101;39502;Alstrom, Robert B.;25.0%;20.0%;40.0%;;5.0%;;;;;;;;;;;;;;;;;;10.0%;
;;;Lie Group Methods;202620;Spring 2026;103;40800;Goppert, James M.;20.0%;6.7%;53.3%;10.0%;;;3.3%;;;;;;;;;;;3.3%;;;;;3.3%;
;;;Modern Vehicle Avionics;202620;Spring 2026;085;23180;Li, Husheng;29.4%;23.5%;11.8%;;5.9%;;29.4%;;;;;;;;;;;;;;;;;
;;;Multi-Agent Autonomy & Control;202620;Spring 2026;096;30797;Mou, Shaoshuai;94.7%;;;5.3%;;;;;;;;;;;;;;;;;;;;
;;;Surrogate Methods;202620;Spring 2026;084;23178;Leifsson, Leifur T.;27.8%;22.2%;;;16.7%;11.1%;16.7%;;;5.6%;;;;;;;;;;;;;;
;;66600;Nonlin Dyn Syst Contrl;202620;Spring 2026;003;30785;Corless, Martin;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;69000;Advanced Topics In Estimation;202620;Spring 2026;001;39295;Demars, Kyle J.;42.9%;14.3%;28.6%;;7.1%;;;;;;;;;;;;;;;;;;7.1%;
;;;Multi Body Orbital Structures;202620;Spring 2026;002;39296;Capannolo, Andrea;45.2%;;19.4%;25.8%;6.5%;;;;;;;;;;;;;;;;;;3.2%;
;;69900;Research PhD Thesis;202620;Spring 2026;016;10176;Howell, Kathleen;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;050;19282;Slabaugh, Carson D.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
AAS;AAS-African American Studies;27100;Intro African American Studies;202620;Spring 2026;002;10137;Stephens, Ronald J.;69.2%;7.7%;7.7%;;;;;;;;;;;;;;;;;;;;15.4%;
;;;;;;003;39300;Tetne, Maurice;21.7%;4.3%;4.3%;;13.0%;8.7%;17.4%;13.0%;13.0%;4.3%;;;;;;;;;;;;;;
;;37100;AfAmArt: History, Theory, Prac;202620;Spring 2026;001;38089;Tan, Mindy H.;10.5%;15.8%;73.7%;;;;;;;;;;;;;;;;;;;;;
;;;AfAmArt:Hist,Theor,Prac-Honors;202620;Spring 2026;001;38089;Tan, Mindy H.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;37300;Hist Of Injustice In America;202620;Spring 2026;003;30111;Stephens, Ronald J.;54.5%;;9.1%;;;;9.1%;;;;;;;;9.1%;;;;;;;;18.2%;
;;47300;Blacks In Hollywood Film;202620;Spring 2026;003;38889;Tan, Mindy H.;25.8%;19.4%;29.0%;;6.5%;9.7%;6.5%;;3.2%;;;;;;;;;;;;;;;
ABE;ABE-Agri & Biol Engineering;20200;Thermodynamics In Biol Engr;202620;Spring 2026;001;18743;Liu, Junli;31.4%;17.1%;5.7%;;11.4%;11.4%;11.4%;;;11.4%;;;;;;;;;;;;;;
;;21000;Thermo Prin Of Engr & Bio Sys;202620;Spring 2026;001;10446;Dabiri, Sadegh;5.6%;;2.8%;;8.3%;5.6%;5.6%;19.4%;13.9%;11.1%;13.9%;2.8%;2.8%;;5.6%;;;;;;;;2.8%;
;;30400;Biological Engineering Lab;202620;Spring 2026;007;11756;Brown, Abigail S.;39.6%;18.9%;15.1%;;7.5%;1.9%;11.3%;;;1.9%;1.9%;;;;1.9%;;;;;;;;;
;;30800;Heat & Mass Trans In Biol Engr;202620;Spring 2026;005;12953;Narsimhan, Ganesan;9.4%;5.7%;7.5%;;11.3%;5.7%;9.4%;18.9%;11.3%;17.0%;;;;;3.8%;;;;;;;;;
;;31400;Design Of Electronic Systems;202620;Spring 2026;001;11692;Jin, Jian;31.4%;17.1%;14.3%;;11.4%;2.9%;17.1%;2.9%;;2.9%;;;;;;;;;;;;;;
;;32000;Sld Mod Dyn Sim Anly;202620;Spring 2026;001;65886;Evans, John T.;42.1%;36.8%;5.3%;;10.5%;;5.3%;;;;;;;;;;;;;;;;;
;;32700;Biotechnology Laboratory II;202620;Spring 2026;002;29594;Clase, Kari L.;82.6%;4.3%;;;4.3%;;4.3%;;;;;4.3%;;;;;;;;;;;;
;;;;;;003;29596;Clase, Kari L.;63.0%;11.1%;;;7.4%;3.7%;7.4%;;;3.7%;;;;;;;;;;;;;3.7%;
;;33000;Des Machine Components;202620;Spring 2026;001;10452;Stwalley, Robert M.;71.4%;;7.1%;;21.4%;;;;;;;;;;;;;;;;;;;
;;37000;Reaction Kinetics In Biol Engr;202620;Spring 2026;001;40915;Jimenez-Useche, Isabel C.;22.6%;26.4%;9.4%;;9.4%;15.1%;9.4%;3.8%;1.9%;;;;;;1.9%;;;;;;;;;
;;40600;ABE Ambassador Leadership Sem;202620;Spring 2026;001;28240;Raturi, Ankita;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;42500;Water Quality Engineering;202620;Spring 2026;001;22287;Simsek, Halis;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;42600;Ecological Restoration Engr;202620;Spring 2026;001;39907;Lay, Danielle W.;68.2%;;4.5%;;18.2%;;9.1%;;;;;;;;;;;;;;;;;
;;44000;Cell & Mol Model In Biol Engr;202620;Spring 2026;001;16902;Proctor, Caitlin R.;31.1%;22.2%;;;15.6%;8.9%;11.1%;2.2%;;4.4%;2.2%;;;;;;;;;;;;2.2%;
;;45700;Unit Operations In Biol Engr;202620;Spring 2026;001;11759;Narsimhan, Ganesan;16.7%;20.4%;7.4%;;11.1%;16.7%;3.7%;14.8%;1.9%;1.9%;3.7%;;;;1.9%;;;;;;;;;
;;48600;Agricultural Engr Design;202620;Spring 2026;002;11761;Lumkes, John H.;23.1%;30.8%;23.1%;;3.8%;3.8%;15.4%;;;;;;;;;;;;;;;;;
;;55800;Biological Engr Design II;202620;Spring 2026;001;16001;Okos, Martin R.;11.9%;25.4%;;;23.7%;;30.5%;;1.7%;6.8%;;;;;;;;;;;;;;
;;58000;Adv Processes In Biol Engr;202620;Spring 2026;001;13091;Mosier, Nathan S.;35.6%;;;;41.1%;;;16.4%;;;4.1%;;;;;;;;;;;;2.7%;
;;59100;Sci & Eng Of Lipid Nanopart;202620;Spring 2026;071;40980;Ristroph, Kurt D.;52.9%;;35.3%;;11.8%;;;;;;;;;;;;;;;;;;;
;;65100;Environmental Informatics;202620;Spring 2026;001;15495;Cherkauer, Keith A.;54.5%;36.4%;;;;;;;;9.1%;;;;;;;;;;;;;;
;;69600;Graduate Seminar;202620;Spring 2026;001;11431;Porterfield, D. M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
AD;AD-Art & Design;10500;Design I;202620;Spring 2026;001;68776;Kim-Narita, Claire A.;14.3%;28.6%;;;7.1%;14.3%;7.1%;;;;;;7.1%;;14.3%;;;;;;;;7.1%;
;;;;;;002;64613;Kim-Narita, Claire A.;17.6%;47.1%;;;5.9%;11.8%;;;5.9%;11.8%;;;;;;;;;;;;;;
;;;;;;003;68777;Bolisetty, Lochana;7.7%;23.1%;;;;7.7%;30.8%;;7.7%;;;;;;15.4%;;;;;;;;7.7%;
;;;;;;004;10220;Hitselberger, Brian J.;21.4%;35.7%;;;;7.1%;7.1%;;;;;;;;21.4%;;;;;;;;7.1%;
;;10600;Design II;202620;Spring 2026;001;20544;Terrell, Michael S.;31.3%;50.0%;;;12.5%;;;;;;;;;;;;;;;;;;6.3%;
;;;;;;002;20545;Terrell, Michael S.;6.7%;46.7%;6.7%;;6.7%;13.3%;13.3%;;6.7%;;;;;;;;;;;;;;;
;;;;;;003;20546;Havel, Sadey J.;52.9%;23.5%;;;;;17.6%;5.9%;;;;;;;;;;;;;;;;
;;;;;;004;20547;Havel, Sadey J.;37.5%;25.0%;;;6.3%;6.3%;12.5%;;12.5%;;;;;;;;;;;;;;;
