AGEC;AGEC-Agricultural Economics;21700;Economics;202330;Summer 2023;001;16998;Hua, Yizhou;19.4%;9.7%;53.2%;;3.2%;1.6%;8.1%;;1.6%;;;;;3.2%;;;;;;;;;
AGEC;AGEC-Agricultural Economics;33100;Prin Of Industrial Selling;202330;Summer 2023;001;10278;Cochran, Amy L.;14.3%;4.8%;;;19.0%;14.3%;19.0%;;4.8%;4.8%;;;9.5%;4.8%;;;;;;;;4.8%;
AGR;AGR-Agriculture;20100;Com Across Culture;202330;Summer 2023;001;20905;Morris, Pamala V.;23.3%;11.6%;27.9%;;2.3%;9.3%;9.3%;7.0%;4.7%;;;2.3%;;;;;;;;;;2.3%;
AGR;AGR-Agriculture;29000;Ag Science Research Institute;202330;Summer 2023;001;32020;Williams, Anna K.;;;;;;;;;;;;;;;;;100.0%;;;;;;
AGR;AGR-Agriculture;29000;C-PASA And AgDiscovery;202330;Summer 2023;002;34786;Brown, Zachary C.;;;;;;;;;;;;;;;;;;100.0%;;;;;
AGRY;AGRY-Agronomy;25500;Soil Science;202330;Summer 2023;001;33931;Rahmani, Shams Rahman R.;21.1%;;;;10.5%;;5.3%;10.5%;;10.5%;5.3%;;10.5%;15.8%;;;;;;;;10.5%;
AGRY;AGRY-Agronomy;32000;Genetics;202330;Summer 2023;001;12021;Rainey, Katherine M.;10.0%;3.3%;1.7%;;15.0%;5.0%;3.3%;6.7%;11.7%;13.3%;5.0%;;6.7%;8.3%;;;;;;;;10.0%;
AGRY;AGRY-Agronomy;59800;Agrnmic Field Crop Diagnostics;202330;Summer 2023;005;34373;Quinn, Daniel J.;100.0%;;;;;;;;;;;;;;;;;;;;;;
AMST;AMST-American Studies;10100;America And The World;202330;Summer 2023;001;11171;Basmaz, Ozgun;;;100.0%;;;;;;;;;;;;;;;;;;;;
AMST;AMST-American Studies;10100;America And The World;202330;Summer 2023;002;34179;Williams Tortolini, David J.;80.0%;;;;6.7%;;;;;;6.7%;;;6.7%;;;;;;;;;
ANSC;ANSC-Animal Sciences;22100;Princ Of Animal Nutr;202330;Summer 2023;004;18175;Forsyth, Dale M.;14.3%;;;;;;;7.1%;;;;;;;78.6%;;;;;;;;
ANSC;ANSC-Animal Sciences;23000;Physiolo/Domestic Anim;202330;Summer 2023;001;31681;Cabot, Ryan A.;14.3%;7.1%;14.3%;;14.3%;10.7%;17.9%;3.6%;;7.1%;7.1%;;;3.6%;;;;;;;;;
ANSC;ANSC-Animal Sciences;33100;Horses In Culture/Society;202330;Summer 2023;002;32288;Brady, Colleen M.;35.6%;;20.0%;;8.9%;4.4%;26.7%;2.2%;;;;;;2.2%;;;;;;;;;
ANTH;ANTH-Anthropology;10000;Being Human: Intro To Anth;202330;Summer 2023;001;22294;Christopher, Lauren;70.4%;3.7%;;;11.1%;;7.4%;;;;;;7.4%;;;;;;;;;;
ANTH;ANTH-Anthropology;10000;Being Human: Intro To Anth;202330;Summer 2023;002;12688;Smith, Bonnie K.;36.4%;20.5%;22.7%;;2.3%;2.3%;11.4%;;;2.3%;;;;;;;2.3%;;;;;;
ANTH;ANTH-Anthropology;20400;Human Origins;202330;Summer 2023;001;11346;Keevil, Trevor L.;72.0%;;;;8.0%;;;4.0%;;;8.0%;;;8.0%;;;;;;;;;
ANTH;ANTH-Anthropology;20500;Human Cultural Diversity;202330;Summer 2023;002;11771;Aulds, Meredith N.;4.2%;8.3%;79.2%;;;;;;;;;;4.2%;4.2%;;;;;;;;;
ANTH;ANTH-Anthropology;20500;Human Cultural Diversity;202330;Summer 2023;003;12673;Christodoulaki, Kalliopi M.;3.2%;16.1%;;;19.4%;16.1%;22.6%;3.2%;16.1%;;3.2%;;;;;;;;;;;;
ANTH;ANTH-Anthropology;20500;Human Cultural Diversity;202330;Summer 2023;Y01;19545;Apuzzo, Cassandra B.;69.6%;4.3%;;;;;4.3%;;;;;;;17.4%;;;;;;;;4.3%;
ANTH;ANTH-Anthropology;21000;Technology And Culture;202330;Summer 2023;001;25770;Reid, David A.;50.0%;11.1%;;;5.6%;;11.1%;;;;5.6%;;;5.6%;;;;;;;;11.1%;
ANTH;ANTH-Anthropology;21000;Technology And Culture;202330;Summer 2023;002;33905;Torquato, Melissa G.;73.3%;6.7%;6.7%;;13.3%;;;;;;;;;;;;;;;;;;
ANTH;ANTH-Anthropology;21200;Culture, Food & Health;202330;Summer 2023;001;33906;Remis, Melissa J.;16.7%;;33.3%;;;25.0%;8.3%;;8.3%;8.3%;;;;;;;;;;;;;
ANTH;ANTH-Anthropology;34000;Global Health;202330;Summer 2023;001;11890;Remis, Melissa J.;3.1%;6.3%;68.8%;;;3.1%;3.1%;;;;;;;9.4%;;;3.1%;;;;;3.1%;
ANTH;ANTH-Anthropology;34000;Global Health;202330;Summer 2023;002;12689;Wirtz, Elizabeth J.;47.4%;15.8%;21.1%;;;;5.3%;5.3%;;;;;;5.3%;;;;;;;;;
ASEC;ASEC-Agric Sciences Educ &Comm;33100;Horses In Culture/Society;202330;Summer 2023;002;32289;Brady, Colleen M.;45.0%;;10.0%;;5.0%;5.0%;25.0%;;5.0%;5.0%;;;;;;;;;;;;;
ASEC;ASEC-Agric Sciences Educ &Comm;54800;Comm Science To The Public;202330;Summer 2023;001;29332;Forbes, Beth A.;90.9%;9.1%;;;;;;;;;;;;;;;;;;;;;
ASL;ASL-American Sign Language;10100;American Sign Lang I;202330;Summer 2023;017;32014;Borkowski, Sharon L.;50.0%;18.8%;6.3%;;6.3%;6.3%;12.5%;;;;;;;;;;;;;;;;
ASL;ASL-American Sign Language;10100;American Sign Lang I;202330;Summer 2023;018;32015;Borkowski, Sharon L.;18.8%;50.0%;;;18.8%;;6.3%;;;6.3%;;;;;;;;;;;;;
ASL;ASL-American Sign Language;10100;American Sign Lang I;202330;Summer 2023;020;33953;Barrett, Michael A.;38.5%;;23.1%;;7.7%;7.7%;;7.7%;;7.7%;;;;;;;;;;;;7.7%;
ASL;ASL-American Sign Language;10100;American Sign Lang I;202330;Summer 2023;021;33954;Barrett, Michael A.;25.0%;25.0%;31.3%;;;6.3%;;;6.3%;;;;6.3%;;;;;;;;;;
ASL;ASL-American Sign Language;20100;American Sign Lang III;202330;Summer 2023;001;31771;Steggs, Stacy A.;30.8%;;;;;30.8%;15.4%;15.4%;;7.7%;;;;;;;;;;;;;
AT;AT-Aviation Technology;21100;Ground Trainer II;202330;Summer 2023;044;29845;Cassens, Ronda E.;;;;;;;;;;;;;;;;;88.2%;11.8%;;;;;
AT;AT-Aviation Technology;24302;Comm Flight I Fed Aviatn Reg;202330;Summer 2023;037;29846;Cassens, Ronda E.;;;;;;;;;;;;;;;;;54.5%;45.5%;;;;;
AT;AT-Aviation Technology;24802;Comm Flight II Fed Aviatn Reg;202330;Summer 2023;029;25541;Cassens, Ronda E.;;;;;;;;;;;;;;;;;52.9%;47.1%;;;;;
AT;AT-Aviation Technology;25302;Instrumnt Flight Fed AviatnReg;202330;Summer 2023;035;29847;Cassens, Ronda E.;;;;;;;;;;;;;;;;;;95.0%;;;;5.0%;
AT;AT-Aviation Technology;29000;JROTC Ground School;202330;Summer 2023;005;34929;Flores, Abner D.;16.7%;46.7%;10.0%;;6.7%;6.7%;13.3%;;;;;;;;;;;;;;;;
AT;AT-Aviation Technology;29000;Intro To Aviation Technology;202330;Summer 2023;001;34783;Gilbert, Vicki L.;;;;;;;;;;;;;;;;;100.0%;;;;;;
AT;AT-Aviation Technology;35100;Flt Instructor Flt;202330;Summer 2023;001;29841;Cassens, Ronda E.;;;;;;;;;;;;;;;;;50.0%;50.0%;;;;;
AT;AT-Aviation Technology;41600;Airline Indoctrination;202330;Summer 2023;002;13308;Strickland, Paul B.;92.3%;;;;7.7%;;;;;;;;;;;;;;;;;;
AT;AT-Aviation Technology;44502;Aircraft Electronics;202330;Summer 2023;001;29249;Barnes, Donald K.;100.0%;;;;;;;;;;;;;;;;;;;;;;
BCHM;BCHM-Biochemistry;30700;Biochemistry;202330;Summer 2023;Y01;27331;Hart, Orla M.;41.6%;;;0.7%;42.3%;;;8.8%;;;3.6%;;;1.5%;0.7%;;;;;;;0.7%;
BIOL;BIOL-Biological Sciences;11000;Fundamentals Biol I;202330;Summer 2023;001;13192;Rackliffe, Daniel R.;22.2%;;5.6%;;22.2%;;33.3%;16.7%;;;;;;;;;;;;;;;
BIOL;BIOL-Biological Sciences;12100;Biol I Divrs Ecol Behv;202330;Summer 2023;001;13597;Humphrey, Sean E.;27.8%;20.4%;11.1%;;7.4%;3.7%;20.4%;5.6%;1.9%;;1.9%;;;;;;;;;;;;
BIOL;BIOL-Biological Sciences;20300;Human Antmy & Physiol;202330;Summer 2023;005;31643;Kolo, Lisa P.;5.0%;16.7%;;;25.0%;13.3%;18.3%;6.7%;;13.3%;;;;;;;;;;;;1.7%;
BIOL;BIOL-Biological Sciences;20300;Human Antmy & Physiol;202330;Summer 2023;010;33937;Kolo, Lisa P.;7.7%;;7.7%;;7.7%;15.4%;23.1%;7.7%;15.4%;7.7%;7.7%;;;;;;;;;;;;
BIOL;BIOL-Biological Sciences;20400;Human Antmy & Physiol;202330;Summer 2023;001;30449;Stillman, Lisa;2.2%;10.9%;;;30.4%;8.7%;21.7%;4.3%;;17.4%;;;;;;;;;;;;4.3%;
BIOL;BIOL-Biological Sciences;22100;Intro To Microbiology;202330;Summer 2023;001;31427;Pappas, Donald L.;45.5%;;;;31.8%;;;22.7%;;;;;;;;;;;;;;;
BIOL;BIOL-Biological Sciences;23100;Bio III Cell Strct Fnc;202330;Summer 2023;001;20995;Humphrey, Sean E.;57.9%;;25.3%;;4.2%;;10.5%;;;2.1%;;;;;;;;;;;;;
BIOL;BIOL-Biological Sciences;28600;Intro To Ecol & Evol;202330;Summer 2023;001;10956;Stoczynski, Lauren E.;46.3%;20.4%;;;11.1%;;11.1%;;1.9%;3.7%;;;1.9%;3.7%;;;;;;;;;
BIOL;BIOL-Biological Sciences;39500;Exp Dsgn&Quant Analys I-Honors;202330;Summer 2023;H01;12227;Fernandez-Juricic, Esteban;67.6%;;16.2%;;2.7%;;8.1%;2.7%;2.7%;;;;;;;;;;;;;;
BIOL;BIOL-Biological Sciences;42000;Eukaryotic Cell Biol;202330;Summer 2023;001;23761;Aguilar, Ruben C.;37.9%;;;;31.0%;;;13.8%;;;3.4%;;;6.9%;;;;;;;;6.9%;
BME;BME-Biomedical Engineering;39399;Cooperative Experience III;202330;Summer 2023;001;34309;Glidden, Austin T.;;;;;;;;;;;;;;;;;;;100.0%;;;;
BME;BME-Biomedical Engineering;56300;Regulatory Compliance;202330;Summer 2023;OL1;31066;Lottes, Aaron E.;42.9%;25.0%;10.7%;;7.1%;;10.7%;;;;;;;;;;;;;;;3.6%;
BME;BME-Biomedical Engineering;69000;BME Seminar;202330;Summer 2023;001;17355;Siemers, Tammy R.;;;;;;;;;;;;;;;;;;;82.8%;;17.2%;;
BME;BME-Biomedical Engineering;69699;BME Prof Grad Internship;202330;Summer 2023;001;12242;Brightman, Andrew O.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CE;CE-Civil Engineering;29202;Contemporary Issues In CE;202330;Summer 2023;001;29690;Tompkins, John C.;72.7%;;;;18.2%;;;9.1%;;;;;;;;;;;;;;;
CE;CE-Civil Engineering;29900;Dvlp Infrstr Tmrw: Intro To CE;202330;Summer 2023;003;28801;Khalifah, Susan M.;97.7%;;;;;;;;;;;;;;2.3%;;;;;;;;
CE;CE-Civil Engineering;39201;Technical Communication In CE;202330;Summer 2023;001;29691;Tompkins, John C.;63.3%;;;;16.7%;;;10.0%;;;;;;3.3%;3.3%;;;;;;;3.3%;
CE;CE-Civil Engineering;39699;Prof Practice Internship;202330;Summer 2023;001;11767;Heath, Kathy M.;;;;;;;;;;;;;;;;;;;81.3%;18.8%;;;
CE;CE-Civil Engineering;49700;Graduate Stdnt Techncl Writing;202330;Summer 2023;001;35349;Tompkins, John C.;;;;;;;;;;;;;;;;;100.0%;;;;;;
CE;CE-Civil Engineering;59700;Plastics In Infrstrctre&Enviro;202330;Summer 2023;OL1;31437;Whelton, Andrew J.;;;100.0%;;;;;;;;;;;;;;;;;;;;
CE;CE-Civil Engineering;59800;Gr Professional Intern;202330;Summer 2023;019;27904;Cai, Hubo;;;;;;;;;;;;;;;;;;;100.0%;;;;
CE;CE-Civil Engineering;59800;Gr Professional Intern;202330;Summer 2023;031;32825;Jahanshahi, Mohammad Reza;;;;;;;;;;;;;;;;;;;100.0%;;;;
CEM;CEM-Construction Engr & Mgmt;19100;Construct Internship I;202330;Summer 2023;001;10759;Fulk, Brandon M.;;;;;;;;;;;;;;;;;;;70.6%;29.4%;;;
CEM;CEM-Construction Engr & Mgmt;29100;Construct Internshp II;202330;Summer 2023;001;10760;Fulk, Brandon M.;;;;;;;;;;;;;;;;;;;70.5%;29.5%;;;
CEM;CEM-Construction Engr & Mgmt;39100;Construct Intern III;202330;Summer 2023;001;10761;Fulk, Brandon M.;;;;;;;;;;;;;;;;;;;77.8%;22.2%;;;
CGT;CGT-Computer Graphics Tech;10501;Introduction To Games;202330;Summer 2023;001;33261;Howard, Robert T.;78.6%;;;;7.1%;;;;;;;;;;7.1%;;;;;;;7.1%;
CGT;CGT-Computer Graphics Tech;14100;Internet Found,Tch&Dev;202330;Summer 2023;Y01;22760;Morales, Carlos R.;38.9%;;38.9%;;11.1%;;;5.6%;;;;;;5.6%;;;;;;;;;
CGT;CGT-Computer Graphics Tech;16300;Graphical Comm & Spatial Anly;202330;Summer 2023;006;29020;Fuerst, Travis J.;73.4%;;;;10.1%;;;6.3%;;;2.5%;;;3.8%;;;;;;;;3.8%;
CGT;CGT-Computer Graphics Tech;16400;Graphics For CE &Const;202330;Summer 2023;001;31242;Chang, Soowon;29.2%;;25.0%;;12.5%;;12.5%;4.2%;;;12.5%;;;4.2%;;;;;;;;;
CGT;CGT-Computer Graphics Tech;21500;Comptr Graph Program I;202330;Summer 2023;001;23819;Kesselman, Jeffrey P.;7.7%;;38.5%;;7.7%;;;;;;;7.7%;7.7%;23.1%;7.7%;;;;;;;;
CHE;CHE-Chemical Engineering;20500;Ch Engr Calculations;202330;Summer 2023;001;23769;Harris, Michael T.;6.7%;13.3%;6.7%;;26.7%;13.3%;20.0%;;;;;;;;;;;;;;;13.3%;
CHE;CHE-Chemical Engineering;59700;Prof MS Capstone Project;202330;Summer 2023;027;28302;Clark, William R.;50.0%;;27.8%;;16.7%;;;;5.6%;;;;;;;;;;;;;;
CHE;CHE-Chemical Engineering;69900;Research PhD Thesis;202330;Summer 2023;014;10816;Gounder, Rajamani P.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHE;CHE-Chemical Engineering;69900;Research PhD Thesis;202330;Summer 2023;033;22682;Agrawal, Rakesh;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;11200;General Chemistry;202330;Summer 2023;001;30011;Harwood, Cynthia A.;28.8%;;;;39.4%;;;13.6%;;;6.1%;;;9.1%;;;;;;;;3.0%;
CHM;CHM-Chemistry;11500;General Chemistry;202330;Summer 2023;002;29180;Rienstra-Kiracofe, Jonathan C.;7.6%;7.6%;;;9.4%;16.5%;15.9%;9.4%;7.6%;14.1%;1.2%;1.2%;2.9%;5.3%;;;;;;;;1.2%;
CHM;CHM-Chemistry;11600;General Chemistry;202330;Summer 2023;006;10830;Starr, Hannah E.;7.9%;6.2%;5.6%;;10.7%;8.4%;8.4%;12.4%;10.7%;10.1%;6.7%;1.7%;1.7%;6.7%;;;;;;;;2.8%;
CHM;CHM-Chemistry;25500;Organic Chemistry;202330;Summer 2023;001;22088;Wenthold, Paul G.;18.9%;;9.4%;;22.6%;;5.7%;30.2%;;5.7%;;;;7.5%;;;;;;;;;
CHM;CHM-Chemistry;25501;Organic Chem Lab;202330;Summer 2023;001;29195;Batchelder-Schwab, Emile J.;55.6%;;;;27.8%;;;16.7%;;;;;;;;;;;;;;;
CHM;CHM-Chemistry;25600;Organic Chemistry;202330;Summer 2023;001;29194;Kern, Mallory K.;9.6%;;5.8%;;23.1%;;3.8%;19.2%;;3.8%;5.8%;3.8%;;17.3%;;;;;;;;7.7%;
CHM;CHM-Chemistry;69699;Chem Grad Intern;202330;Summer 2023;001;32436;Hoffmann, Stephen R.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;006;10864;Dick, Jeffrey E.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;015;27368;Cooks, Robert G.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;028;10861;Laskin, Julia;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;047;19028;Low, Philip S.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;051;20990;Mcluckey, Scott A.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;070;10881;Kenttamaa, Hilkka I.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHM;CHM-Chemistry;69900;Research PhD Thesis;202330;Summer 2023;071;10858;Uyeda, Christopher H.;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHNS;CHNS-Chinese;10100;Chinese Level I;202330;Summer 2023;001;29656;Cheng, Yi-Fang;20.0%;;60.0%;;;;6.7%;;;6.7%;;;;;;;;;;;;6.7%;
CLCS;CLCS-Classics;18100;Classical Wrld Civiliz;202330;Summer 2023;001;34097;Rauh, Nicholas K.;66.7%;6.7%;13.3%;;;;;;6.7%;;;;;;;;;;;;;6.7%;
CLCS;CLCS-Classics;23500;Intr To Classical Myth;202330;Summer 2023;001;11360;Dickson, Keith M.;22.9%;22.9%;;;11.4%;2.9%;17.1%;2.9%;2.9%;2.9%;2.9%;2.9%;;2.9%;;;2.9%;;;;;2.9%;
CM;CM-Construction Management;10000;Intro To Construction Mgmt;202330;Summer 2023;001;32148;Manuel, Joseph R.;26.3%;5.3%;;;36.8%;;15.8%;;;5.3%;;;;5.3%;;;;;;;;5.3%;
CNIT;CNIT-Computer & Info Tech;10500;Intro To C Program;202330;Summer 2023;001;29561;Salem, Tawfiq M.;8.7%;21.7%;4.3%;;4.3%;13.0%;8.7%;4.3%;8.7%;8.7%;;;;13.0%;;;;;;;;4.3%;
CNIT;CNIT-Computer & Info Tech;13600;PC Tech & Applications;202330;Summer 2023;001;19443;Laux, Dawn D.;56.4%;10.3%;;;2.6%;5.1%;7.7%;2.6%;;;2.6%;;2.6%;;;;;;;;;10.3%;
CNIT;CNIT-Computer & Info Tech;15501;Intro To Software Dev Concepts;202330;Summer 2023;002;35396;Salem, Tawfiq M.;33.3%;8.3%;;;25.0%;;8.3%;;8.3%;8.3%;;;8.3%;;;;;;;;;;
CNIT;CNIT-Computer & Info Tech;17500;Visual Programming;202330;Summer 2023;001;24253;Esmaeili, Ahmad;;9.1%;27.3%;;9.1%;18.2%;18.2%;;;9.1%;;;;9.1%;;;;;;;;;
CNIT;CNIT-Computer & Info Tech;17600;Info Tech Architecture;202330;Summer 2023;001;29529;Hands, Nicole M.;30.8%;3.8%;;;26.9%;;;11.5%;3.8%;;;;;3.8%;7.7%;;;;;;;11.5%;
CNIT;CNIT-Computer & Info Tech;18000;Intro To Systems Devel;202330;Summer 2023;004;29550;Barlow, Victor M.;31.3%;25.0%;18.8%;;6.3%;;12.5%;;;;;;;6.3%;;;;;;;;;
CNIT;CNIT-Computer & Info Tech;18200;System & Org Security;202330;Summer 2023;001;33767;Josekutty Thomas, Paul;66.7%;;;;16.7%;;;;;;;;;;;;;;;;;16.7%;
CNIT;CNIT-Computer & Info Tech;24200;System Administration;202330;Summer 2023;001;29541;Rawles, Phillip T.;18.4%;2.0%;;;18.4%;12.2%;10.2%;14.3%;6.1%;6.1%;2.0%;2.0%;2.0%;2.0%;;;;;;;;4.1%;
CNIT;CNIT-Computer & Info Tech;27000;Cybersecurity Fundamentals I;202330;Summer 2023;001;33770;Hands, Nicole M.;26.9%;7.7%;;;15.4%;3.8%;11.5%;11.5%;;7.7%;;;;7.7%;3.8%;;;;;;;3.8%;
CNIT;CNIT-Computer & Info Tech;34400;Network Engr Fundamentals;202330;Summer 2023;001;34421;Deadman, Robert C.;5.9%;;;;58.8%;;;17.6%;;;;;;;;;;;;;;17.6%;
CNIT;CNIT-Computer & Info Tech;48000;Manag Info Tech Projct;202330;Summer 2023;001;13474;Dittman, Kevin C.;47.8%;;;;21.7%;;;8.7%;;;4.3%;;;13.0%;;;;;;;;4.3%;
CNIT;CNIT-Computer & Info Tech;48000;Manag Info Tech Projct;202330;Summer 2023;002;14384;Brewer, Jeffrey L.;30.4%;21.7%;;;26.1%;4.3%;4.3%;4.3%;;;4.3%;;4.3%;;;;;;;;;;
CNIT;CNIT-Computer & Info Tech;48000;Manag Info Tech Projct;202330;Summer 2023;003;34964;Josekutty Thomas, Paul;55.0%;;;;25.0%;;;5.0%;;;;;;5.0%;5.0%;;;;;;;5.0%;
CNIT;CNIT-Computer & Info Tech;57000;IT Data Analytics;202330;Summer 2023;001;14645;Springer, John A.;71.4%;;;;21.4%;;;;;;;;;;;;7.1%;;;;;;
COM;COM-Communication;10200;Intro To Com Theory;202330;Summer 2023;002;22505;Sypher, Howard E.;20.0%;22.9%;;;14.3%;;8.6%;11.4%;5.7%;5.7%;2.9%;;;5.7%;2.9%;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;308;10368;Stewart, Stephen R.;61.1%;22.2%;;;;11.1%;;;;;;;;5.6%;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;309;11188;Kaufman, Sara V.;27.8%;11.1%;;;33.3%;;;5.6%;;5.6%;;;;5.6%;;;;;;;;11.1%;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;310;11189;Schultz, James E.;20.0%;15.0%;;;25.0%;5.0%;15.0%;5.0%;;15.0%;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;312;25726;Johnson, Joshua;45.0%;20.0%;;;10.0%;;10.0%;;;15.0%;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;313;25727;Watley, Kimberly J.;75.0%;5.0%;;;5.0%;5.0%;;;;;5.0%;;;;;;;;;;;5.0%;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;315;25729;Pedley, Storie P.;68.2%;4.5%;;;13.6%;;;;;13.6%;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;317;27533;Ramsey, Jessica N.;55.0%;5.0%;;;;5.0%;10.0%;5.0%;5.0%;10.0%;;;;5.0%;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;318;27534;Casebeer, Elizabeth C.;15.8%;10.5%;;;21.1%;5.3%;31.6%;5.3%;;;;;;5.3%;;;;;;;;5.3%;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;319;27535;Johnson, Nathanael S.;55.0%;;;;40.0%;;;5.0%;;;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;320;27536;Gerald, Maggie L.;57.9%;15.8%;;;15.8%;5.3%;5.3%;;;;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;322;28436;Goulette, Kearstynn G.;77.3%;4.5%;;;4.5%;;4.5%;;;;;;;9.1%;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;325;13917;Wagner, Amy B.;62.5%;8.3%;8.3%;;12.5%;;8.3%;;;;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;326;13918;Salazar, Hannah N.;36.4%;22.7%;;;13.6%;4.5%;9.1%;9.1%;;4.5%;;;;;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;349;28718;Joya, Jessica J.;35.0%;10.0%;;;25.0%;;10.0%;5.0%;5.0%;;5.0%;;;5.0%;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;353;28939;Avery, Benjamin S.;25.0%;25.0%;5.0%;;5.0%;5.0%;20.0%;5.0%;;;;;;10.0%;;;;;;;;;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;354;28940;Strickler, Joseph A.;16.7%;5.6%;;;38.9%;11.1%;22.2%;;;;;;;;;;;;;;;5.6%;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;355;28941;Evans, Elizabeth A.;57.9%;10.5%;;;10.5%;;5.3%;5.3%;;;;;;5.3%;;;;;;;;5.3%;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;356;28942;Evans, Elizabeth A.;36.8%;15.8%;;;10.5%;;26.3%;;;5.3%;;;;;;;;;;;;5.3%;
COM;COM-Communication;11400;Fundament Of Speech;202330;Summer 2023;357;28943;Salazar, Hannah N.;11.8%;35.3%;;;11.8%;;;11.8%;11.8%;;;;;5.9%;;;;;;;;11.8%;
