Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;016;19021;Zabalegui Lopez, Erik;72.7%;;18.2%;;;;9.1%;;;;;;;;;;;;;;;;;
;;;;;;017;19022;Zabalegui Lopez, Erik;28.6%;14.3%;42.9%;;;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;019;15766;Moy, Chandler J.;42.9%;7.1%;35.7%;;;;14.3%;;;;;;;;;;;;;;;;;
;;;;;;020;19906;Moy, Chandler J.;64.3%;;28.6%;;;;;;;;;;7.1%;;;;;;;;;;;
;;;;;;021;14331;Inanc, Ece;35.7%;21.4%;35.7%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;023;17237;Inanc, Ece;64.3%;;;;14.3%;7.1%;7.1%;7.1%;;;;;;;;;;;;;;;;
;;;;;;025;17240;Gardinier, Gage G.;42.9%;;57.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;17241;Myers, Andrew P.;35.7%;14.3%;50.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;027;17242;Myers, Andrew P.;57.1%;;42.9%;;;;;;;;;;;;;;;;;;;;;
;;;;;;028;17243;Myers, Andrew P.;21.4%;14.3%;64.3%;;;;;;;;;;;;;;;;;;;;;
;;33400;Aerodynamics;202610;Fall 2025;001;10023;Canino, James V.;16.2%;27.0%;4.1%;;10.8%;5.4%;14.9%;4.1%;4.1%;5.4%;1.4%;1.4%;4.1%;;1.4%;;;;;;;;;
;;;;;;002;25073;Canino, James V.;11.0%;15.1%;1.4%;;13.7%;15.1%;13.7%;11.0%;2.7%;4.1%;4.1%;1.4%;4.1%;;;;;;;;;;2.7%;
;;33401;Aerodynamics Lab;202610;Fall 2025;005;10028;Inanc, Ece;75.0%;;16.7%;;8.3%;;;;;;;;;;;;;;;;;;;
;;;;;;008;11976;Inanc, Ece;41.7%;8.3%;33.3%;;8.3%;;;8.3%;;;;;;;;;;;;;;;;
;;;;;;010;11991;Nazir, Sana;36.4%;;54.5%;;9.1%;;;;;;;;;;;;;;;;;;;
;;;;;;011;16237;Pati, Biswaranjan;33.3%;;66.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;013;17252;Nazir, Sana;25.0%;;66.7%;;;;;;;8.3%;;;;;;;;;;;;;;
;;;;;;014;17253;Nazir, Sana;58.3%;;41.7%;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;17254;Nazir, Sana;45.5%;;54.5%;;;;;;;;;;;;;;;;;;;;;
;;;;;;017;28666;Cooper, James N.;36.4%;;63.6%;;;;;;;;;;;;;;;;;;;;;
;;;;;;018;28669;Cooper, James N.;50.0%;8.3%;33.3%;;;;8.3%;;;;;;;;;;;;;;;;;
;;33800;Thermal Sciences;202610;Fall 2025;001;12052;Wang, Haifeng;9.8%;12.2%;4.9%;;12.2%;14.6%;12.2%;4.9%;12.2%;9.8%;;;;;2.4%;;;;;;;;4.9%;
;;33900;Aerospace Propulsion;202610;Fall 2025;001;14973;Chakraborty, Suman;16.7%;12.5%;4.2%;;12.5%;20.8%;8.3%;4.2%;;12.5%;8.3%;;;;;;;;;;;;;
;;;;;;002;14069;Chakraborty, Suman;9.6%;13.5%;1.9%;;11.5%;19.2%;5.8%;3.8%;3.8%;17.3%;7.7%;;;;;1.9%;;;;;;;3.8%;
;;34000;Dynamics & Vibrations;202610;Fall 2025;001;10031;Burton, Alexander B.;11.3%;16.5%;4.1%;;12.4%;17.5%;14.4%;4.1%;3.1%;11.3%;1.0%;;1.0%;;1.0%;;;;;;;;2.1%;
;;;;;;002;30161;Cunningham, Thomas F.;14.9%;20.9%;3.0%;;9.0%;16.4%;6.0%;3.0%;6.0%;9.0%;1.5%;3.0%;3.0%;;1.5%;;;;;;;;3.0%;
;;35103;Aerospace Systems Design;202610;Fall 2025;001;14824;Parsons, Kevin K.;43.4%;18.9%;15.1%;;7.5%;1.9%;11.3%;;;0.9%;;;;;0.9%;;;;;;;;;
;;35200;Structural Analysis I;202610;Fall 2025;003;62157;Agyei, Ronald F.;3.0%;8.0%;;;18.0%;23.0%;11.0%;7.0%;6.0%;16.0%;1.0%;;4.0%;;1.0%;;;;;;;;2.0%;
;;;;;;004;15811;Joshi, Pankaj;1.3%;9.0%;;;16.7%;14.1%;14.1%;9.0%;6.4%;15.4%;6.4%;1.3%;2.6%;;2.6%;;;;;;;;1.3%;
;;;;;;005;14934;Kwok, Kawai;;5.1%;;;14.1%;16.7%;2.6%;21.8%;17.9%;11.5%;1.3%;1.3%;3.8%;;;;;;;;;;3.8%;
;;36400;Control System Anly;202610;Fall 2025;001;10036;Byeon, Sooyung;9.4%;15.1%;3.8%;;5.7%;13.2%;7.5%;7.5%;1.9%;5.7%;9.4%;3.8%;5.7%;;9.4%;;;;;;;;1.9%;
;;;;;;002;14760;Tanaka, Takashi;9.7%;11.3%;14.5%;;9.7%;11.3%;9.7%;6.5%;4.8%;6.5%;;3.2%;3.2%;;6.5%;;;;;;;;3.2%;
;;36401;Control Systems Lab;202610;Fall 2025;001;10037;Guo, Yifan;75.0%;;;;25.0%;;;;;;;;;;;;;;;;;;;
;;;;;;003;10039;Mahmud, S M Nahid;81.3%;;;;18.8%;;;;;;;;;;;;;;;;;;;
;;;;;;004;10040;Zhou, Tianyu;76.5%;;;;23.5%;;;;;;;;;;;;;;;;;;;
;;;;;;005;10041;Sikka, Sidhdharth D.;75.0%;;;;18.8%;;;;;;;;;;6.3%;;;;;;;;;
;;;;;;008;10044;Zhou, Tianyu;76.5%;;;;23.5%;;;;;;;;;;;;;;;;;;;
;;;;;;010;10046;Palmer, David M.;72.2%;;;;22.2%;;;;;;;;;;5.6%;;;;;;;;;
;;;;;;012;64712;Palmer, David M.;77.8%;;;;22.2%;;;;;;;;;;;;;;;;;;;
;;;;;;013;64732;Sarang, Amogha;72.2%;;;;22.2%;;;5.6%;;;;;;;;;;;;;;;;
;;;;;;016;13898;Sikka, Sidhdharth D.;77.8%;;;;22.2%;;;;;;;;;;;;;;;;;;;
;;;;;;017;16210;Guo, Yifan;77.8%;;;;22.2%;;;;;;;;;;;;;;;;;;;
;;;;;;019;26262;Hoyos, Jose D.;77.8%;;;;22.2%;;;;;;;;;;;;;;;;;;;
;;;;;;020;21754;Sarang, Amogha;72.7%;;;;18.2%;;;9.1%;;;;;;;;;;;;;;;;
;;39699;Prof Practice Internship;202610;Fall 2025;001;10431;Crain, Lisa M.;;;;;;;;;;;;;;;;;;;;89.3%;10.7%;;;
;;40000;Ugrad Senior Seminar;202610;Fall 2025;001;59072;Crossley, William A.;38.1%;;39.4%;;18.7%;;;3.2%;;;0.6%;;;;;;;;;;;;;
;;41200;Intro Comp Fluid Dyn;202610;Fall 2025;001;10053;Blaisdell, Gregory A.;34.5%;20.7%;9.2%;1.1%;13.8%;1.1%;10.3%;2.3%;;;1.1%;2.3%;;;1.1%;;;;;;;;2.3%;
;;41600;Viscous Flows;202610;Fall 2025;001;21424;Shih, Tom I.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;41800;Zero-Gravity Flt Exper;202610;Fall 2025;001;18910;Collicott, Steven H.;77.5%;7.5%;2.5%;;;;12.5%;;;;;;;;;;;;;;;;;
;;;;;;003;20074;Collicott, Steven H.;62.5%;;7.5%;;;;27.5%;2.5%;;;;;;;;;;;;;;;;
;;42100;Flight Dynam & Control;202610;Fall 2025;001;12540;Corless, Martin;51.2%;;16.3%;;23.3%;;;9.3%;;;;;;;;;;;;;;;;
;;;;;;002;20078;Dai, Ran;13.3%;13.3%;16.7%;;23.3%;;13.3%;6.7%;;3.3%;;;6.7%;;;3.3%;;;;;;;;
;;;;;;003;14309;Corless, Martin;58.1%;;16.3%;;23.3%;;;;;;;;;;;;;;;;;;2.3%;
;;43900;Rocket Propulsion;202610;Fall 2025;001;10058;Pourpoint, Timothee L.;17.3%;26.4%;9.1%;;7.3%;17.3%;10.9%;1.8%;;7.3%;1.8%;0.9%;;;;;;;;;;;;
;;44000;Spacecraft Att Dynam;202610;Fall 2025;001;20531;Capannolo, Andrea;28.2%;;;;41.0%;;;20.5%;;;2.6%;;;;5.1%;2.6%;;;;;;;;
;;;;;;002;20106;Oguri, Kenshiro;22.4%;;5.2%;1.7%;37.9%;;;17.2%;;;6.9%;;;;1.7%;1.7%;;;;;;;5.2%;
;;45000;Spacecraft Design;202610;Fall 2025;003;32731;Cunningham, Thomas F.;90.2%;;;;7.3%;;;2.4%;;;;;;;;;;;;;;;;
;;45100;Aircraft Design;202610;Fall 2025;007;22234;Machado Guimaraes, Thiago Augusto;45.2%;16.1%;32.3%;;3.2%;3.2%;;;;;;;;;;;;;;;;;;
;;;;;;009;22240;Alstrom, Robert B.;59.3%;18.5%;18.5%;;3.7%;;;;;;;;;;;;;;;;;;;
;;45400;Design Aerosp Struct;202610;Fall 2025;001;25444;Joshi, Pankaj;37.9%;10.3%;27.6%;;3.4%;;10.3%;;;3.4%;;3.4%;3.4%;;;;;;;;;;;
;;49000;Aero Prop Foundations;202610;Fall 2025;003;21316;Canino, James V.;30.8%;10.3%;7.7%;;7.7%;10.3%;12.8%;2.6%;;7.7%;2.6%;5.1%;2.6%;;;;;;;;;;;
;;;Aircraft Conceptual Design;202610;Fall 2025;004;22518;Machado Guimaraes, Thiago Augusto;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;CubeSat Lab;202610;Fall 2025;001;23154;Shashurin, Alexey;57.9%;5.3%;31.6%;;;;5.3%;;;;;;;;;;;;;;;;;
;;50700;Principles Of Dynamics;202610;Fall 2025;001;14397;Frueh, Carolin E.;34.4%;12.5%;6.3%;12.5%;6.3%;;3.1%;12.5%;;;;;;;;6.3%;;;;;;;6.3%;
;;51100;Intro Fluid Mechnics;202610;Fall 2025;WNG;10078;Poggie, Jonathan;21.2%;34.6%;21.2%;5.8%;1.9%;3.8%;7.7%;;;;;;;;;;;;;;;;3.8%;
;;53200;Orbit Mechanics;202610;Fall 2025;WNG;18515;Howell, Kathleen;15.1%;6.8%;1.4%;1.4%;20.5%;11.0%;4.1%;15.1%;5.5%;6.8%;2.7%;1.4%;;;;2.7%;;;;;;;5.5%;
;;53300;Space Traffic Management;202610;Fall 2025;002;30344;Frueh, Carolin E.;60.0%;8.0%;4.0%;4.0%;4.0%;4.0%;8.0%;4.0%;;;;;;;;;;;;;;;4.0%;
;;53400;Spacecraft Electric Propulsion;202610;Fall 2025;WNG;20356;Shashurin, Alexey;43.6%;23.1%;7.7%;;15.4%;;7.7%;;;;;;;;;;;;;;;;2.6%;
;;53700;Hypersonic Propulsion;202610;Fall 2025;001;25619;Slabaugh, Carson D.;51.2%;7.3%;2.4%;;29.3%;7.3%;;;;;;;;;2.4%;;;;;;;;;
;;;;;;002;29169;Slabaugh, Carson D.;31.3%;6.3%;;;18.8%;12.5%;6.3%;6.3%;6.3%;;;;;;;;;;;;;;12.5%;
;;53800;Air Breathing Propul;202610;Fall 2025;001;32851;Paniagua Perez, Guillermo;18.2%;18.2%;9.1%;;36.4%;;18.2%;;;;;;;;;;;;;;;;;
;;;;;;WNG;15657;Paniagua Perez, Guillermo;22.2%;16.7%;11.1%;;11.1%;;27.8%;5.6%;;;;;;;;;;;;;;;5.6%;
;;55000;Multidiscip Des Opt;202610;Fall 2025;002;25218;Crossley, William A.;41.9%;26.7%;7.0%;1.2%;7.0%;4.7%;2.3%;3.5%;;1.2%;;1.2%;;;2.3%;;;;;;;;1.2%;
;;55300;Elast Aerospace I;202610;Fall 2025;WNG;10084;Tallman, Tyler N.;11.4%;17.1%;11.4%;;20.0%;5.7%;11.4%;2.9%;8.6%;2.9%;;;2.9%;;;;;;;;;;5.7%;
;;55400;Fatigue Struct & Matls;202610;Fall 2025;001;26993;Sangid, Michael D.;28.6%;20.0%;5.7%;;11.4%;2.9%;22.9%;;2.9%;2.9%;;;;;2.9%;;;;;;;;;
;;55600;Aeroelasticity;202610;Fall 2025;001;23697;Arrieta Diaz, Andres;;26.7%;20.0%;;6.7%;;26.7%;6.7%;;13.3%;;;;;;;;;;;;;;
;;55800;Fin El Meth Aero Struc;202610;Fall 2025;WNG;10087;Tomar, Vikas;54.1%;8.1%;16.2%;;8.1%;2.7%;8.1%;;;;2.7%;;;;;;;;;;;;;
;;56100;Intro To Convex Optimization;202610;Fall 2025;FNY;25881;Jiang, Liwei;38.5%;38.5%;;7.7%;;;;;;;;;;;;;;;;;;;15.4%;
;;56200;Aerosp Eng Probability & Est;202610;Fall 2025;001;30863;Frazho, Arthur E.;96.4%;;;;3.6%;;;;;;;;;;;;;;;;;;;
;;56400;Syst Anly Synthesis;202610;Fall 2025;WNG;25050;Frazho, Arthur E.;95.1%;;;1.6%;3.3%;;;;;;;;;;;;;;;;;;;
;;57100;Complex System Safety;202610;Fall 2025;002;30347;Marais, Karen;12.5%;27.1%;4.2%;;12.5%;16.7%;27.1%;;;;;;;;;;;;;;;;;
;;57500;Intr Sat Nav & Pos;202610;Fall 2025;001;25620;Garrison, James L.;12.8%;2.6%;51.3%;5.1%;5.1%;5.1%;2.6%;2.6%;;;;;;;2.6%;2.6%;;;;;;;7.7%;
;;59000;Des Of Comp Mat & Struct;202610;Fall 2025;WN5;27763;Zhang, Dianyun;41.7%;8.3%;25.0%;8.3%;;;8.3%;;;;;;;;8.3%;;;;;;;;;
;;;Fundamentals Of Estimation;202610;Fall 2025;120;25621;LeGrand, Keith A.;77.8%;;;3.7%;11.1%;;;;;;3.7%;;;;;;;;;;;;3.7%;
;;;Molecular Gas Dynamics;202610;Fall 2025;127;30724;Alexeenko, Alina;86.1%;;11.1%;;;;2.8%;;;;;;;;;;;;;;;;;
;;;Space Flight Operations;202610;Fall 2025;125;29166;Cunningham, Thomas F.;26.7%;26.7%;;;6.7%;;20.0%;;;6.7%;;;;;6.7%;;;;;;;;6.7%;
;;;;;;WN2;19989;Cunningham, Thomas F.;15.9%;36.4%;9.1%;;4.5%;4.5%;20.5%;;;4.5%;2.3%;;;;;;;;;;;;2.3%;
;;;Space Policy;202610;Fall 2025;123;27466;Dumbacher, Daniel L.;55.0%;20.0%;;5.0%;5.0%;;10.0%;;;;;;;;;;;;;;;;5.0%;
;;;Stochastic Control;202610;Fall 2025;119;23514;Tanaka, Takashi;36.7%;3.3%;33.3%;16.7%;;;;;;;;;;;3.3%;;;3.3%;;;;;;3.3%
;;;Sustainable  Aviation;202610;Fall 2025;124;27571;Qiao, Li;77.8%;16.7%;;;;;5.6%;;;;;;;;;;;;;;;;;
;;63200;Adv Orbital Dynamics;202610;Fall 2025;WNG;25622;Howell, Kathleen;28.6%;14.3%;;25.0%;14.3%;;17.9%;;;;;;;;;;;;;;;;;
;;69900;Research PhD Thesis;202610;Fall 2025;018;10160;Howell, Kathleen;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;049;16879;Slabaugh, Carson D.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;052;18246;Mou, Shaoshuai;;;;;;;;;;;;;;;;;;;;92.9%;;7.1%;;
AAS;AAS-African American Studies;27100;Intro African American Studies;202610;Fall 2025;007;22015;Tetne, Maurice;20.0%;20.0%;35.0%;;;5.0%;5.0%;;;10.0%;;;5.0%;;;;;;;;;;;
;;;;;;008;24396;Tetne, Maurice;29.6%;3.7%;37.0%;;;;7.4%;;7.4%;;3.7%;;;;11.1%;;;;;;;;;
;;27700;African American Pop Culture;202610;Fall 2025;001;19840;Tan, Mindy H.;30.8%;7.7%;46.2%;;;;;7.7%;;;;;;;;;;;;;;;7.7%;
;;37100;Afro Asia Foodways;202610;Fall 2025;001;24924;Tan, Mindy H.;9.5%;;61.9%;;4.8%;;9.5%;;;4.8%;;;;;4.8%;;;;;;;;4.8%;
;;;Afro Asia Foodways-Honors;202610;Fall 2025;001;24924;Tan, Mindy H.;66.7%;;33.3%;;;;;;;;;;;;;;;;;;;;;
;;49100;Contemporary Hip Hop;202610;Fall 2025;001;27008;Tan, Mindy H.;23.1%;23.1%;23.1%;;7.7%;;15.4%;;;3.8%;;3.8%;;;;;;;;;;;;
ABE;ABE-Agri & Biol Engineering;20100;Material & Energy Balances;202610;Fall 2025;004;53767;Ristroph, Kurt D.;8.3%;3.3%;;;15.0%;11.7%;;6.7%;5.0%;11.7%;10.0%;3.3%;5.0%;;5.0%;;;;;;;;15.0%;
;;20500;Computations Engr Sys;202610;Fall 2025;003;23870;Zhang, Yaguang;36.1%;8.3%;41.7%;;8.3%;;5.6%;;;;;;;;;;;;;;;;;
;;22600;Biotechnology Laboratory I;202610;Fall 2025;001;20475;Chaterji, Somali;86.7%;;;;3.3%;3.3%;6.7%;;;;;;;;;;;;;;;;;
;;;;;;002;20478;Chaterji, Somali;96.4%;;;;;;3.6%;;;;;;;;;;;;;;;;;
;;;;;;003;20479;Chaterji, Somali;89.7%;3.4%;;;;;3.4%;;;3.4%;;;;;;;;;;;;;;
;;29000;Sophomore Seminar;202610;Fall 2025;001;10410;Frankenberger, Jane R.;81.0%;8.6%;;;3.8%;2.9%;1.0%;1.0%;;1.0%;;;1.0%;;;;;;;;;;;
;;30100;Modeling & Computational Tools;202610;Fall 2025;001;31368;Sankaranarayanan, Karthik;7.0%;7.0%;1.8%;;24.6%;15.8%;14.0%;8.8%;1.8%;15.8%;3.5%;;;;;;;;;;;;;
;;30200;Biochemical Lab Techniques;202610;Fall 2025;001;32055;Brown, Abigail S.;5.0%;40.0%;;;20.0%;5.0%;30.0%;;;;;;;;;;;;;;;;;
;;;;;;003;22889;Brown, Abigail S.;20.0%;40.0%;;;15.0%;;25.0%;;;;;;;;;;;;;;;;;
;;30300;Physical Chem In Biol Engr;202610;Fall 2025;001;10413;Wang, Jiangshan;5.5%;5.5%;;;25.5%;16.4%;14.5%;12.7%;;12.7%;5.5%;;1.8%;;;;;;;;;;;
;;30500;Phys Prop Biol Matls;202610;Fall 2025;001;10414;Ambrose, Rose Prabin K.;19.4%;19.4%;9.7%;;22.6%;6.5%;12.9%;;;9.7%;;;;;;;;;;;;;;
;;30700;Momentum Transfer In Biol Engr;202610;Fall 2025;001;11705;Singh, Shweta;8.8%;17.5%;1.8%;;24.6%;8.8%;14.0%;14.0%;1.8%;5.3%;1.8%;;1.8%;;;;;;;;;;;
;;32500;Soil & Water Resource;202610;Fall 2025;001;10417;Cherkauer, Keith A.;26.2%;16.7%;;;16.7%;7.1%;21.4%;2.4%;2.4%;7.1%;;;;;;;;;;;;;;
;;40600;ABE Ambassador Leadership Sem;202610;Fall 2025;001;24029;Taylor, Daniel C.;94.1%;;;;;;;;;;;;;;;;;;;;;;5.9%;
;;43500;Hyd Contr Syst Mob Eq;202610;Fall 2025;001;10421;Menegatti, Elena;20.0%;10.0%;35.0%;;;5.0%;15.0%;10.0%;5.0%;;;;;;;;;;;;;;;
;;45000;Comp Model & Data Anly Ag Engr;202610;Fall 2025;001;30832;Dabiri, Sadegh;22.2%;33.3%;;;5.6%;5.6%;22.2%;5.6%;;5.6%;;;;;;;;;;;;;;
;;46000;Sensors And Process Control;202610;Fall 2025;002;18201;Shang, Lizhi;36.2%;17.4%;;;11.6%;1.4%;13.0%;4.3%;4.3%;5.8%;1.4%;;4.3%;;;;;;;;;;;
;;48400;Project Planning And Mgmt;202610;Fall 2025;001;20640;Lay, Danielle W.;57.7%;23.1%;15.4%;;;;3.8%;;;;;;;;;;;;;;;;;
;;49000;Prof Pract Ag Biol Eng;202610;Fall 2025;002;21304;Ambrose, Rose Prabin K.;21.6%;5.9%;58.8%;;3.9%;2.0%;5.9%;;;1.0%;1.0%;;;;;;;;;;;;;
;;53000;Plant Phenotyping Technologies;202610;Fall 2025;001;28403;Jin, Jian;58.3%;;33.3%;8.3%;;;;;;;;;;;;;;;;;;;;
;;54500;Dsgn Off-Highway Veh;202610;Fall 2025;002;14968;Stwalley, Robert M.;25.0%;;8.3%;;50.0%;;;16.7%;;;;;;;;;;;;;;;;
;;55700;Biological Engr Design I;202610;Fall 2025;001;21632;Okos, Martin R.;34.7%;19.4%;;;15.3%;2.8%;9.7%;1.4%;2.8%;6.9%;;;;;1.4%;5.6%;;;;;;;;
;;59100;Biological & Food Process Dsgn;202610;Fall 2025;045;30139;Okos, Martin R.;63.6%;27.3%;9.1%;;;;;;;;;;;;;;;;;;;;;
;;62600;Technology Entrepreneurship;202610;Fall 2025;001;21036;Duval-Couetil, Nathalie A.;22.2%;25.9%;40.7%;;;;;;;;;;;;;3.7%;;;;;;;7.4%;
;;62700;Colloidal Phenomena;202610;Fall 2025;001;30390;Narsimhan, Ganesan;50.0%;;25.0%;8.3%;;;;;;;;;;;;;;;;;;;16.7%;
;;69400;Graduate Research Training;202610;Fall 2025;001;68108;Mosier, Nathan S.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;69700;Doctoral Professional Develpmt;202610;Fall 2025;002;21964;Brown, Abigail S.;90.9%;;;;;;;;;;;;;;;;;;;;;;9.1%;
AD;AD-Art & Design;10500;Design I;202610;Fall 2025;013;10270;Lai, Chia-hsuan;;11.8%;5.9%;;11.8%;35.3%;23.5%;;;;;;5.9%;;5.9%;;;;;;;;;
;;;;;;015;10274;Qaiser, Sundas;;25.0%;18.8%;;;6.3%;25.0%;6.3%;;;6.3%;;6.3%;;;;;;;;;;6.3%;
;;;;;;016;10280;Lai, Chia-hsuan;26.7%;13.3%;;;6.7%;6.7%;20.0%;6.7%;6.7%;;;;;;6.7%;;;;;;;;6.7%;
;;;;;;024;13504;Olubodun, Emmanuel T.;41.2%;17.6%;;;;11.8%;17.6%;5.9%;;;;;;;;;;;;;;;5.9%;
;;;;;;031;13540;Havel, Sadey J.;25.0%;43.8%;;;;;18.8%;;;6.3%;;;;;6.3%;;;;;;;;;
;;;;;;032;11597;Olubodun, Emmanuel T.;31.3%;18.8%;;;6.3%;12.5%;12.5%;;;6.3%;;;6.3%;;;;;;;;;;6.3%;
;;;;;;035;23214;Kim-Narita, Claire A.;21.4%;42.9%;;;;;14.3%;;7.1%;7.1%;;;7.1%;;;;;;;;;;;
;;;;;;036;23218;Gong, Ziqian;15.4%;23.1%;;;7.7%;7.7%;38.5%;;;;;;;;;;;;;;;;7.7%;
;;;;;;037;26606;Havel, Sadey J.;47.1%;41.2%;;;;;11.8%;;;;;;;;;;;;;;;;;
;;;;;;038;29579;Qaiser, Sundas;;18.8%;37.5%;;6.3%;18.8%;12.5%;;;6.3%;;;;;;;;;;;;;;
;;;;;;039;29580;Gong, Ziqian;23.5%;29.4%;;;5.9%;;35.3%;;;;;;;;5.9%;;;;;;;;;
